venue,era,year,title,doi,dblp_key,canonical_source,normalized_title,abstract,abstract_source,matched_title,match_score,openalex_id,semantic_scholar_id,retrieval_status,retrieval_error,token_count
ICML,pre_gpt,1988,A Hill-Climbing Approach to Machine Discovery,,conf/icml/RoseL88,DBLP,a hill climbing approach to machine discovery,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,A Knowledge Intensive Approach to Concept Induction,,conf/icml/BergadanoG88,DBLP,a knowledge intensive approach to concept induction,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,Active Explanation Reduction: An Approach to the Multiple Explanations Problem,,conf/icml/RajamoneyD88,DBLP,active explanation reduction an approach to the multiple explanations problem,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,An Approach Based on Integrated Learning to Generating Stories,,conf/icml/Carpineto88,DBLP,an approach based on integrated learning to generating stories,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,An Empirical Comparison of Genetic and Decision-Tree Classifiers,,conf/icml/Quinlan88,DBLP,an empirical comparison of genetic and decision tree classifiers,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,AutoClass: A Bayesian Classification System,,conf/icml/CheesemanKSSTF88,DBLP,autoclass a bayesian classification system,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,Boundaries of Operationality,,conf/icml/BravermanR88,DBLP,boundaries of operationality,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,Building and Using Mental Models in a Sensory-Motor Domain,,conf/icml/Mel88,DBLP,building and using mental models in a sensory motor domain,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,Classifier Systems with Hamming Weights,,conf/icml/DavisY88,DBLP,classifier systems with hamming weights,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,Competitive Reinforcement Learning,,conf/icml/Lynne88,DBLP,competitive reinforcement learning,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,Concept Simplification and Prediction Accuracy,,conf/icml/FisherS88,DBLP,concept simplification and prediction accuracy,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,Conceptual Clumping of Binary Vectors with Occam's Razor,,conf/icml/Segen88a,DBLP,conceptual clumping of binary vectors with occam s razor,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,Connectionist Learning of Expert Backgammon Evaluations,,conf/icml/Tesauro88,DBLP,connectionist learning of expert backgammon evaluations,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,Deferred Commitment in UNIMEM: Waiting to Learn,,conf/icml/Lebowitz88,DBLP,deferred commitment in unimem waiting to learn,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,Diffy-S: Learning Robot Operator Schemata from Examples,,conf/icml/Kadie88,DBLP,diffy s learning robot operator schemata from examples,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,Experimental Results from an Evaluation of Algorithms that Learn to Control Dynamic Systems,,conf/icml/Sammut88,DBLP,experimental results from an evaluation of algorithms that learn to control dynamic systems,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,Experiments on the Costs and Benefits of Windowing in ID3,,conf/icml/WirthC88,DBLP,experiments on the costs and benefits of windowing in id3,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,Extending the Valiant Learning Model,,conf/icml/Amsterdam88,DBLP,extending the valiant learning model,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,Generalizing Number and Learning from Multiple Examples in Explanation Based Learning,,conf/icml/Cohen88,DBLP,generalizing number and learning from multiple examples in explanation based learning,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,Generalizing the Order of Operators in Macro-Operators,,conf/icml/Mooney88,DBLP,generalizing the order of operators in macro operators,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,Hypothesis Filtering: A Practical Approach to Reliable Learning,,conf/icml/Etzioni88,DBLP,hypothesis filtering a practical approach to reliable learning,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,ID5: An Incremental ID3,,conf/icml/Utgoff88,DBLP,id5 an incremental id3,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,Improved Decision Trees: A Generalized Version of ID3,,conf/icml/ChengFIQ88,DBLP,improved decision trees a generalized version of id3,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,Incremental Multiple Concept Learning Using Experiments,,conf/icml/Gross88,DBLP,incremental multiple concept learning using experiments,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,Integrated Learning with Incorrect and Incomplete Theories,,conf/icml/Pazzani88,DBLP,integrated learning with incorrect and incomplete theories,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,Learning Categorical Decision Criteria in Biomedical Domains,,conf/icml/Spackman88,DBLP,learning categorical decision criteria in biomedical domains,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,Learning Graph Models of Shape,,conf/icml/Segen88,DBLP,learning graph models of shape,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,Learning Systems of First-Order Rules,,conf/icml/Helft88,DBLP,learning systems of first order rules,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,Learning to Program by Examining and Modifying Cases,,conf/icml/Williams88,DBLP,learning to program by examining and modifying cases,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,Machine Invention of First Order Predicates by Inverting Resolution,,conf/icml/MuggletonB88,DBLP,machine invention of first order predicates by inverting resolution,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,"Machine Learning, Proceedings of the Fifth International Conference on Machine Learning, Ann Arbor, Michigan, USA, June 12-14, 1988",,conf/icml/1988,DBLP,machine learning proceedings of the fifth international conference on machine learning ann arbor michigan usa june 12 14 1988,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,Midgard: A Genetic Approach to Adaptive Load Balancing for Distributed Systems,,conf/icml/SannierG88,DBLP,midgard a genetic approach to adaptive load balancing for distributed systems,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,On Asking the Right Questions,,conf/icml/KrawchukW88,DBLP,on asking the right questions,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,On the Tractability of Learning from Incomplete Theories,,conf/icml/MahadevanT88,DBLP,on the tractability of learning from incomplete theories,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,Population Size in classifier Systems,,conf/icml/Robertson88,DBLP,population size in classifier systems,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,Reasoning about Operationality for Explanation-Based Learning,,conf/icml/Hirsh88,DBLP,reasoning about operationality for explanation based learning,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,Reduction: A Practical Mechanism of Searching for Regularity in Data,,conf/icml/Wu88,DBLP,reduction a practical mechanism of searching for regularity in data,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,Representation and Hidden Bias: Gray vs. Binary Coding for Genetic Algorithms,,conf/icml/CaruanaS88,DBLP,representation and hidden bias gray vs binary coding for genetic algorithms,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,Some Chunks Are Expensive,,conf/icml/TambeN88,DBLP,some chunks are expensive,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,Some Interesting Properties of a Connectionist Inductive Learning System,,conf/icml/WisniewskiA88,DBLP,some interesting properties of a connectionist inductive learning system,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,"The Interdependencies of Theory Formation, Revision, and Experimentation",,conf/icml/FalkenhainerR88,DBLP,the interdependencies of theory formation revision and experimentation,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,The Role of Forgetting in Learning,,conf/icml/MarkovitchS88,DBLP,the role of forgetting in learning,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,Theory Discovery and the Hypothesis Language,,conf/icml/Kelly88,DBLP,theory discovery and the hypothesis language,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,Trading Off Simplicity and Coverage in Incremental concept Learning,,conf/icml/IbaWL88,DBLP,trading off simplicity and coverage in incremental concept learning,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,Tuning Rule-Based Systems to Their Environments,,conf/icml/Tallis88,DBLP,tuning rule based systems to their environments,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,Two New Frameworks for Learning,,conf/icml/NatarajanT88,DBLP,two new frameworks for learning,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,Using Experience-Based Learning in Game Playing,,conf/icml/JongS88,DBLP,using experience based learning in game playing,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,Using Weighted Networks to Represent Classification Knowledge in Noisy Domains,,conf/icml/TanE88,DBLP,using weighted networks to represent classification knowledge in noisy domains,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,Using a Generalization Hierarchy to Learn from Examples,,conf/icml/Kerber88,DBLP,using a generalization hierarchy to learn from examples,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1988,Utilizing Experience for Improving the Tactical Manager,,conf/icml/EricksonZ88,DBLP,utilizing experience for improving the tactical manager,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,"""Learning by Instruction"" in connectionist Systems",,conf/icml/Diederich89,DBLP,learning by instruction in connectionist systems,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,A Bootstrapping Approach to Concept Clustering,,conf/icml/MorkK89,DBLP,a bootstrapping approach to concept clustering,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,A Description of Preference Criterion in Constructive Learning: A Discussion of Basis Issues,,conf/icml/ZhangM89,DBLP,a description of preference criterion in constructive learning a discussion of basis issues,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,A Formal Framework for Learning in Embedded Systems,,conf/icml/Kaelbling89,DBLP,a formal framework for learning in embedded systems,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,A Framework for Improving Efficiency and Accuracy,,conf/icml/Wogulis89,DBLP,a framework for improving efficiency and accuracy,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,A Knowledge-Level Analysis of Informing,,conf/icml/Hsu89,DBLP,a knowledge level analysis of informing,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,A Mathematical Framework for Studying Representation,,conf/icml/HolteZ89,DBLP,a mathematical framework for studying representation,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,A Retrieval Model Using Feature Selection,,conf/icml/Seifert89,DBLP,a retrieval model using feature selection,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,A Role for Anticipation in Reactive Systems that Learn,,conf/icml/WhiteheadB89,DBLP,a role for anticipation in reactive systems that learn,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,A Schema for an Integrated Learning System,,conf/icml/Wollowski89,DBLP,a schema for an integrated learning system,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,A Theory of Justified Reformulations,,conf/icml/Subramanian89a,DBLP,a theory of justified reformulations,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,A Tight Integration of Deductive Learning,,conf/icml/Widmer89,DBLP,a tight integration of deductive learning,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,Adaptation-Based Explanation: Explanations as Cases,,conf/icml/Kass89,DBLP,adaptation based explanation explanations as cases,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,Adaptive Learning of Decision-Theoretic Search Control Knowledge,,conf/icml/WefaldR89,DBLP,adaptive learning of decision theoretic search control knowledge,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,An Empirical Analysis of EBL Approaches for Learning Plan Schemata,,conf/icml/Shavlik89,DBLP,an empirical analysis of ebl approaches for learning plan schemata,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,An Experimental Comparison of Human and Machine Learning Formalisms,,conf/icml/MuggletonBMM89,DBLP,an experimental comparison of human and machine learning formalisms,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,An Exploration Into Incremental Learning: the INFLUENCE System,,conf/icml/Cornuejols89,DBLP,an exploration into incremental learning the influence system,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,An Incremental Genetic Algorithm for Real-Time Learning,,conf/icml/Fogarty89,DBLP,an incremental genetic algorithm for real time learning,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,An Object-Oriented Representation for Search algorithms,,conf/icml/Mostow89,DBLP,an object oriented representation for search algorithms,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,An Ounce of Knowledge is Worth a Ton of Data: Quantitative studies of the Trade-Off between Expertise and Data Based On Statistically Well-Founded Empirical Induction,,conf/icml/Gaines89,DBLP,an ounce of knowledge is worth a ton of data quantitative studies of the trade off between expertise and data based on statistically well founded empirical induction,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,Approximating Learned Search Control Knowledge,,conf/icml/ChaseZPBMH89,DBLP,approximating learned search control knowledge,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,Atoms of Learning II: Adaptive Strategies A Study of Two-Person Zero-Sum Competition,,conf/icml/Selfridge89,DBLP,atoms of learning ii adaptive strategies a study of two person zero sum competition,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,Augmenting Domain Theory for Explanation-Based Generalization,,conf/icml/Ali89,DBLP,augmenting domain theory for explanation based generalization,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,Automatic Construction of a Hierarchical Generate-and-Test Algorithm,,conf/icml/MohanT89,DBLP,automatic construction of a hierarchical generate and test algorithm,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,"Bacon, Data Analysis and Artificial Intelligence",,conf/icml/Schaffer89,DBLP,bacon data analysis and artificial intelligence,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,Building A Learning Bias from Perceived Dependencies,,conf/icml/Marie89,DBLP,building a learning bias from perceived dependencies,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,"Combining Case-Based Reasoning, Explanation-Based Learning, and Learning form Instruction",,conf/icml/Redmond89,DBLP,combining case based reasoning explanation based learning and learning form instruction,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,Combining Empirical and Analytical Learning with Version Spaces,,conf/icml/Hirsh89,DBLP,combining empirical and analytical learning with version spaces,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,Combining Explanation-Based Learning and Artificial Neural Networks,,conf/icml/ShavlikT89,DBLP,combining explanation based learning and artificial neural networks,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,Comparing Systems and analyzing Functions to Improve Constructive Induction,,conf/icml/Rendell89,DBLP,comparing systems and analyzing functions to improve constructive induction,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,Compiling Learning Vocabulary from a Performance System Description,,conf/icml/Keller89,DBLP,compiling learning vocabulary from a performance system description,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,Concept Discovery Through Utilization of Invariance Embedded in the Description Language,,conf/icml/Kokar89,DBLP,concept discovery through utilization of invariance embedded in the description language,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,Conceptual Clustering of Explanations,,conf/icml/YooF89,DBLP,conceptual clustering of explanations,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,Conceptual Clustering of Mean-Ends Plans,,conf/icml/YangF89,DBLP,conceptual clustering of mean ends plans,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,Constructive Induction Framework,,conf/icml/Mehra89,DBLP,constructive induction framework,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,Constructive Induction by Analogy,,conf/icml/RaedtB89,DBLP,constructive induction by analogy,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,Controlling Search for the Consequences of New Information During Knowledge Integration,,conf/icml/MurrayP89,DBLP,controlling search for the consequences of new information during knowledge integration,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,Cost-Sensitive Concept Learning of Sensor Use in Approach ad Recognition,,conf/icml/TanS89,DBLP,cost sensitive concept learning of sensor use in approach ad recognition,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,Declarative Bias for Structural Domains,,conf/icml/GrosofR89,DBLP,declarative bias for structural domains,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,Deduction in Top-Down Inductive Learning,,conf/icml/BergadanoGP89,DBLP,deduction in top down inductive learning,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,Discovering Admissible Search Heuristics by Abstracting and Optimizing,,conf/icml/MostowP89,DBLP,discovering admissible search heuristics by abstracting and optimizing,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,Discovering Mathematical Operation Definitions,,conf/icml/SimsB89,DBLP,discovering mathematical operation definitions,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,Discovering Problem Solving Strategies: What Humans Do and Machines Don't (Yet),,conf/icml/VanLehn89,DBLP,discovering problem solving strategies what humans do and machines don t yet,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,Empirical Substructure Discovery,,conf/icml/Holder89,DBLP,empirical substructure discovery,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,Enriching Vocabularies by Generalizing Explanation Structures,,conf/icml/MaclinS89,DBLP,enriching vocabularies by generalizing explanation structures,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,Error Correction in Constructive Induction,,conf/icml/DrastalMR89,DBLP,error correction in constructive induction,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,Evaluating Bias During Pac-Learning,,conf/icml/Chrisman89,DBLP,evaluating bias during pac learning,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,Evaluating alternative Instance Representations,,conf/icml/Saxena89,DBLP,evaluating alternative instance representations,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,Exemplar-Based Theory Rejection: An Approach to the Experience Consistency Problem,,conf/icml/Rajamoney89,DBLP,exemplar based theory rejection an approach to the experience consistency problem,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,Experiments in Robot Learning,,conf/icml/MasonCM89,DBLP,experiments in robot learning,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,Explanation Based Learning as Constrained Search,,conf/icml/Haines89,DBLP,explanation based learning as constrained search,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,Explanation-Based Acceleration of Similarity-Based Learning,,conf/icml/NumaoS89,DBLP,explanation based acceleration of similarity based learning,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,Explanation-Based Learning of Reactive Operations,,conf/icml/GervasioD89,DBLP,explanation based learning of reactive operations,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,Explanation-Based Learning with Week Domain Theories,,conf/icml/Pazzani89,DBLP,explanation based learning with week domain theories,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,Finding New Rules for Incomplete Theories: Explicit Biases for Induction with Contextual Information,,conf/icml/Danyluk89,DBLP,finding new rules for incomplete theories explicit biases for induction with contextual information,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,Focused Concept Formation,,conf/icml/Gennari89,DBLP,focused concept formation,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,Generalized Recursive Splitting Algorithms for Learning Hybrid Concepts,,conf/icml/LambertTL89,DBLP,generalized recursive splitting algorithms for learning hybrid concepts,,,,,,,no_abstract_found,,0
ICML,pre_gpt,1989,Higher-Order and Modal Logic as a Framework for Explanation-Based Generalization,,conf/icml/DietzenP89,DBLP,higher order and modal logic as a framework for explanation based generalization,,,,,,,no_abstract_found,,0
