venue,era,year,title,doi,dblp_key,canonical_source
NeurIPS,pre_gpt,1987,'Ensemble' Boltzmann Units have Collective Computational Properties like those of Hopfield and Tank Neurons,,conf/nips/DerthickT87,DBLP
NeurIPS,pre_gpt,1987,A 'Neural' Network that Learns to Play Backgammon,,conf/nips/TesauroS87,DBLP
NeurIPS,pre_gpt,1987,A Computer Simulation of Cerebral Neocortex: Computational Capabilities of Nonlinear Neural Networks,,conf/nips/SingerD87,DBLP
NeurIPS,pre_gpt,1987,A Computer Simulation of Olfactory Cortex with Functional Implications for Storage and Retrieval of Olfactory Information,,conf/nips/BowerW87,DBLP
NeurIPS,pre_gpt,1987,A Dynamical Approach to Temporal Pattern Processing,,conf/nips/StornettaHH87,DBLP
NeurIPS,pre_gpt,1987,A Mean Field Theory of Layer IV of Visual Cortex and Its Application to Artificial Neural Networks,,conf/nips/Scofield87,DBLP
NeurIPS,pre_gpt,1987,A Method for the Design of Stable Lateral Inhibition Networks that is Robust in the Presence of Circuit Parasitics,,conf/nips/WyattS87,DBLP
NeurIPS,pre_gpt,1987,A Neural Network Classifier Based on Coding Theory,,conf/nips/ChiuehG87,DBLP
NeurIPS,pre_gpt,1987,A Neural-Network Solution to the Concentrator Assignment Problem,,conf/nips/TagliariniP87,DBLP
NeurIPS,pre_gpt,1987,A Novel Net that Learns Sequential Decision Process,,conf/nips/SunLC87,DBLP
NeurIPS,pre_gpt,1987,A Trellis-Structured Neural Network,,conf/nips/PetscheD87,DBLP
NeurIPS,pre_gpt,1987,An Adaptive and Heterodyne Filtering Procedure for the Imaging of Moving Objects,,conf/nips/SchulingMZ87,DBLP
NeurIPS,pre_gpt,1987,An Artificial Neural Network for Spatio-Temporal Bipolar Patterns: Application to Phoneme Classification,,conf/nips/AtlasHM87,DBLP
NeurIPS,pre_gpt,1987,An Optimization Network for Matrix Inversion,,conf/nips/JangLS87,DBLP
NeurIPS,pre_gpt,1987,Analysis and Comparison of Different Learning Algorithms for Pattern Association Problems,,conf/nips/Bernasconi87,DBLP
NeurIPS,pre_gpt,1987,Analysis of Distributed Representation of Constituent Structure in Connectionist Systems,,conf/nips/Smolensky87,DBLP
NeurIPS,pre_gpt,1987,Basins of Attraction for Electronic Neural Networks,,conf/nips/MarcusW87,DBLP
NeurIPS,pre_gpt,1987,Bit-Serial Neural Networks,,conf/nips/MurraySB87,DBLP
NeurIPS,pre_gpt,1987,Capacity for Patterns and Sequences in Kanerva's SDM as Compared to Other Associative Memory Models,,conf/nips/Keeler87,DBLP
NeurIPS,pre_gpt,1987,Centric Models of the Orientation Map in Primary Visual Cortex,,conf/nips/BaxterD87,DBLP
NeurIPS,pre_gpt,1987,Computing Motion Using Resistive Networks,,conf/nips/KochLMH87,DBLP
NeurIPS,pre_gpt,1987,Connecting to the Past,,conf/nips/MacDonald87,DBLP
NeurIPS,pre_gpt,1987,Connectivity Versus Entropy,,conf/nips/Abu-Mostafa87,DBLP
NeurIPS,pre_gpt,1987,Constrained Differential Optimization,,conf/nips/PlattB87,DBLP
NeurIPS,pre_gpt,1987,Correlational Strength and Computational Algebra of Synaptic Connections Between Neurons,,conf/nips/Fetz87,DBLP
NeurIPS,pre_gpt,1987,Cycles: A Simulation Tool for Studying Cyclic Neural Networks,,conf/nips/Gately87,DBLP
NeurIPS,pre_gpt,1987,"Discovering Structure from Motion in Monkey, Man and Machine",,conf/nips/Siegel87,DBLP
NeurIPS,pre_gpt,1987,Distributed Neural Information Processing in the Vestibulo-Ocular System,,conf/nips/LauH87,DBLP
NeurIPS,pre_gpt,1987,Encoding Geometric Invariances in Higher-Order Neural Networks,,conf/nips/GilesGM87,DBLP
NeurIPS,pre_gpt,1987,Experimental Demonstrations of Optical Neural Computers,,conf/nips/HsuBP87,DBLP
NeurIPS,pre_gpt,1987,Generalization of Back propagation to Recurrent and Higher Order Neural Networks,,conf/nips/Pineda87,DBLP
NeurIPS,pre_gpt,1987,Hierarchical Learning Control - An Approach with Neuron-Like Associative Memories,,conf/nips/ErsuT87,DBLP
NeurIPS,pre_gpt,1987,High Density Associative Memories,,conf/nips/DemboZ87,DBLP
NeurIPS,pre_gpt,1987,High Order Neural Networks for Efficient Associative Memory Design,,conf/nips/DreyfusGNP87,DBLP
NeurIPS,pre_gpt,1987,How Neural Nets Work,,conf/nips/LapedesF87,DBLP
NeurIPS,pre_gpt,1987,How the Catfish Tracks Its Prey: An Interactive 'Pipelined' Processing System May Direct Foraging via Reticulospinal Neurons,,conf/nips/Kanwal87,DBLP
NeurIPS,pre_gpt,1987,Introduction to a System for Implementing Neural Net Connections on SIMD Architectures,,conf/nips/Tomboulian87,DBLP
NeurIPS,pre_gpt,1987,Invariant Object Recognition Using a Distributed Associative Memory,,conf/nips/WechslerZ87,DBLP
NeurIPS,pre_gpt,1987,Learning Representations by Recirculation,,conf/nips/HintonM87,DBLP
NeurIPS,pre_gpt,1987,Learning a Color Algorithm from Examples,,conf/nips/PoggioH87,DBLP
NeurIPS,pre_gpt,1987,Learning by State Recurrence Detection,,conf/nips/RosenGV87,DBLP
NeurIPS,pre_gpt,1987,Learning in Networks of Nondeterministic Adaptive Logic Elements,,conf/nips/Windecker87,DBLP
NeurIPS,pre_gpt,1987,Learning on a General Network,,conf/nips/Atiya87,DBLP
NeurIPS,pre_gpt,1987,MURPHY: A Robot that Learns by Doing,,conf/nips/Mel87,DBLP
NeurIPS,pre_gpt,1987,Mathematical Analysis of Learning Behavior of Neuronal Models,,conf/nips/CheungO87,DBLP
NeurIPS,pre_gpt,1987,Microelectronic Implementations of Connectionist Neural Networks,,conf/nips/MackieGSD87,DBLP
NeurIPS,pre_gpt,1987,Minkowski-r Back-Propagation: Learning in Connectionist Models with Non-Euclidian Error Signals,,conf/nips/HansonB87,DBLP
NeurIPS,pre_gpt,1987,"Network Generality, Training Required, and Precision Required",,conf/nips/DenkerW87,DBLP
NeurIPS,pre_gpt,1987,Neural Net and Traditional Classifiers,,conf/nips/HuangL87,DBLP
NeurIPS,pre_gpt,1987,Neural Network Implementation Approaches for the Connection Machine,,conf/nips/Brown87,DBLP
NeurIPS,pre_gpt,1987,Neural Networks for Template Matching: Application to Real-Time Classification of the Action Potentials of Real Neurons,,conf/nips/BowerWB87,DBLP
NeurIPS,pre_gpt,1987,Neuromorphic Networks Based on Sparse Optical Orthogonal Codes,,conf/nips/VecchiS87,DBLP
NeurIPS,pre_gpt,1987,New Hardware for Massive Neural Networks,,conf/nips/CoonP87,DBLP
NeurIPS,pre_gpt,1987,On Properties of Networks of Neuron-Like Elements,,conf/nips/BaldiV87,DBLP
NeurIPS,pre_gpt,1987,On Tropistic Processing and Its Applications,,conf/nips/Fernandez87,DBLP
NeurIPS,pre_gpt,1987,On the Power of Neural Networks for Solving Hard Problems,,conf/nips/BruckG87,DBLP
NeurIPS,pre_gpt,1987,Optimal Neural Spike Classification,,conf/nips/BowerA87,DBLP
NeurIPS,pre_gpt,1987,Optimization with Artificial Neural Network Systems: A Mapping Principle and a Comparison to Gradient Based Methods,,conf/nips/Leong87,DBLP
NeurIPS,pre_gpt,1987,Partitioning of Sensory Data by a Cortical Network,,conf/nips/GrangerAHL87,DBLP
NeurIPS,pre_gpt,1987,Pattern Class Degeneracy in an Unrestricted Storage Density Memory,,conf/nips/ScofieldREC87,DBLP
NeurIPS,pre_gpt,1987,Performance Measures for Associative Memories that Learn and Forget,,conf/nips/Kuh87,DBLP
NeurIPS,pre_gpt,1987,Phase Transitions in Neural Networks,,conf/nips/Chover87,DBLP
NeurIPS,pre_gpt,1987,Phasor Neural Networks,,conf/nips/Noest87,DBLP
NeurIPS,pre_gpt,1987,Presynaptic Neural Information Processing,,conf/nips/Carley87,DBLP
NeurIPS,pre_gpt,1987,Probabilistic Characterization of Neural Model Computations,,conf/nips/Golden87,DBLP
NeurIPS,pre_gpt,1987,Programmable Synaptic Chip for Electronic Neural Networks,,conf/nips/MoopennLTK87,DBLP
NeurIPS,pre_gpt,1987,Reflexive Associative Memories,,conf/nips/Loos87,DBLP
NeurIPS,pre_gpt,1987,Scaling Properties of Coarse-Coded Symbol Memories,,conf/nips/RosenfeldT87,DBLP
NeurIPS,pre_gpt,1987,Schema for Motor Control Utilizing a Network Model of the Cerebellum,,conf/nips/Houk87,DBLP
NeurIPS,pre_gpt,1987,Self-Organization of Associative Database and Its Applications,,conf/nips/SuzujiA87,DBLP
NeurIPS,pre_gpt,1987,Simulations Suggest Information Processing Roles for the Diverse Currents in Hippocampal Neurons,,conf/nips/Borg-Graham87,DBLP
NeurIPS,pre_gpt,1987,Spatial Organization of Neural Networks: A Probabilistic Modeling Approach,,conf/nips/StafylopatisDK87,DBLP
NeurIPS,pre_gpt,1987,Speech Recognition Experiments with Perceptrons,,conf/nips/Burr87,DBLP
NeurIPS,pre_gpt,1987,Spontaneous and Information-Triggered Segments of Series of Human Brain Electric Field Maps,,conf/nips/LehmannBHOP87,DBLP
NeurIPS,pre_gpt,1987,Stability Results for Neural Networks,,conf/nips/MichelFP87,DBLP
NeurIPS,pre_gpt,1987,Static and Dynamic Error Propagation Networks with Application to Speech Coding,,conf/nips/RobinsonF87,DBLP
NeurIPS,pre_gpt,1987,Stochastic Learning Networks and their Electronic Implementation,,conf/nips/AlspectorAHS87,DBLP
NeurIPS,pre_gpt,1987,Strategies for Teaching Layered Networks Classification Tasks,,conf/nips/WittnerD87,DBLP
NeurIPS,pre_gpt,1987,Supervised Learning of Probability Distributions by Neural Networks,,conf/nips/BaumW87,DBLP
NeurIPS,pre_gpt,1987,Synchronization in Neural Nets,,conf/nips/VidalH87,DBLP
NeurIPS,pre_gpt,1987,Teaching Artificial Neural Systems to Drive: Manual Training Techniques for Autonomous Systems,,conf/nips/ShepanskiM87,DBLP
NeurIPS,pre_gpt,1987,Temporal Patterns of Activity in Neural Networks,,conf/nips/Gaudiano87,DBLP
NeurIPS,pre_gpt,1987,The Capacity of the Kanerva Associative Memory is Exponential,,conf/nips/Chou87,DBLP
NeurIPS,pre_gpt,1987,The Connectivity Analysis of Simple Association,,conf/nips/Hammerstrom87,DBLP
NeurIPS,pre_gpt,1987,The Hopfield Model with Multi-Level Neurons,,conf/nips/Fleisher87,DBLP
NeurIPS,pre_gpt,1987,The Performance of Convex Set Projection Based Neural Networks,,conf/nips/MarksAOR87,DBLP
