venue,era,year,title,doi,dblp_key,canonical_source,normalized_title,abstract,abstract_source,matched_title,match_score,openalex_id,semantic_scholar_id,retrieval_status,retrieval_error,token_count
ICLR,pre_gpt,2013,"1st International Conference on Learning Representations, ICLR 2013, Scottsdale, Arizona, USA, May 2-4, 2013, Conference Track Proceedings",,conf/iclr/2013,DBLP,1st international conference on learning representations iclr 2013 scottsdale arizona usa may 2 4 2013 conference track proceedings,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2013,"1st International Conference on Learning Representations, ICLR 2013, Scottsdale, Arizona, USA, May 2-4, 2013, Workshop Track Proceedings",,conf/iclr/2013w,DBLP,1st international conference on learning representations iclr 2013 scottsdale arizona usa may 2 4 2013 workshop track proceedings,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2013,A Semantic Matching Energy Function for Learning with Multi-relational Data,,journals/corr/abs-1301-3485,DBLP,a semantic matching energy function for learning with multi relational data,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2013,Affinity Weighted Embedding,,journals/corr/abs-1301-4171,DBLP,affinity weighted embedding,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2013,Complexity of Representation and Inference in Compositional Models with Part Sharing,,journals/corr/abs-1301-3560,DBLP,complexity of representation and inference in compositional models with part sharing,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2013,Deep Learning for Detecting Robotic Grasps,,journals/corr/abs-1301-3592,DBLP,deep learning for detecting robotic grasps,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2013,Discrete Restricted Boltzmann Machines,,journals/corr/abs-1301-3529,DBLP,discrete restricted boltzmann machines,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2013,Herded Gibbs Sampling,,journals/corr/abs-1301-4168,DBLP,herded gibbs sampling,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2013,Knowledge Matters: Importance of Prior Information for Optimization,,journals/corr/abs-1301-4083,DBLP,knowledge matters importance of prior information for optimization,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2013,Linear-Nonlinear-Poisson Neurons Can Do Inference On Deep Boltzmann Machines,,journals/corr/abs-1210-8442,DBLP,linear nonlinear poisson neurons can do inference on deep boltzmann machines,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2013,Local Component Analysis,,journals/corr/abs-1109-0093,DBLP,local component analysis,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2013,Natural Gradient Revisited,,journals/corr/abs-1301-3584v4,DBLP,natural gradient revisited,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2013,Regularized Auto-Encoders Estimate Local Statistics,,journals/corr/abs-1211-4246,DBLP,regularized auto encoders estimate local statistics,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2013,Regularized Discriminant Embedding for Visual Descriptor Learning,,journals/corr/abs-1301-3644,DBLP,regularized discriminant embedding for visual descriptor learning,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2013,Visual Objects Classification with Sliding Spatial Pyramid Matching,,journals/corr/abs-1212-3767,DBLP,visual objects classification with sliding spatial pyramid matching,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2013,When Does a Mixture of Products Contain a Product of Mixtures?,,journals/corr/abs-1206-0387,DBLP,when does a mixture of products contain a product of mixtures,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2013,Zero-Shot Learning Through Cross-Modal Transfer,,journals/corr/abs-1301-3666,DBLP,zero shot learning through cross modal transfer,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2014,"2nd International Conference on Learning Representations, ICLR 2014, Banff, AB, Canada, April 14-16, 2014, Conference Track Proceedings",,conf/iclr/2014,DBLP,2nd international conference on learning representations iclr 2014 banff ab canada april 14 16 2014 conference track proceedings,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2014,"2nd International Conference on Learning Representations, ICLR 2014, Banff, AB, Canada, April 14-16, 2014, Workshop Track Proceedings",,conf/iclr/2014w,DBLP,2nd international conference on learning representations iclr 2014 banff ab canada april 14 16 2014 workshop track proceedings,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2014,A New Method for Learning Deep Recurrent Neural Networks,,journals/corr/ChenD13,DBLP,a new method for learning deep recurrent neural networks,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2014,A Simple Model for Learning Multilingual Compositional Semantics,,journals/corr/HermannB13,DBLP,a simple model for learning multilingual compositional semantics,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2014,Deep learning for neuroimaging: a validation study,,journals/corr/PlisHSC13,DBLP,deep learning for neuroimaging a validation study,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2014,"Learning Non-Linear Feature Maps, With An Application To Representation Learning",,journals/corr/AthanasakisSF13a,DBLP,learning non linear feature maps with an application to representation learning,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2014,Learning States Representations in POMDP,,journals/corr/ContardoDAG13,DBLP,learning states representations in pomdp,We propose to deal with sequential processes where only partial observations are available by learning a latent representation space on which policies may be accurately learned.,Semantic Scholar DBLP identifier,Learning States Representations in POMDP,100.0,,5c08160449286203b0c80e9435f69ee9d09025c6,abstract_found,,26
ICLR,pre_gpt,2014,On the number of inference regions of deep feed forward networks with piece-wise linear activations,,journals/corr/PascanuMB13,DBLP,on the number of inference regions of deep feed forward networks with piece wise linear activations,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2014,Semistochastic Quadratic Bound Methods for Convex and Nonconvex Learning Problems,,journals/corr/AravkinCKJ13,DBLP,semistochastic quadratic bound methods for convex and nonconvex learning problems,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2014,Stochastic Gradient Estimate Variance in Contrastive Divergence and Persistent Contrastive Divergence,,journals/corr/BerglundR13,DBLP,stochastic gradient estimate variance in contrastive divergence and persistent contrastive divergence,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2014,The role of spatio-temporal synchrony in the encoding of motion,,journals/corr/KondaMM13,DBLP,the role of spatio temporal synchrony in the encoding of motion,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2014,Unsupervised Feature Learning by Deep Sparse Coding,,journals/corr/HeKWSQ13,DBLP,unsupervised feature learning by deep sparse coding,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2014,Zero-Shot Learning and Clustering for Semantic Utterance Classification,,journals/corr/DauphinTHH14,DBLP,zero shot learning and clustering for semantic utterance classification,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2015,"3rd International Conference on Learning Representations, ICLR 2015, San Diego, CA, USA, May 7-9, 2015, Conference Track Proceedings",,conf/iclr/2015,DBLP,3rd international conference on learning representations iclr 2015 san diego ca usa may 7 9 2015 conference track proceedings,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2015,"3rd International Conference on Learning Representations, ICLR 2015, San Diego, CA, USA, May 7-9, 2015, Workshop Track Proceedings",,conf/iclr/2015w,DBLP,3rd international conference on learning representations iclr 2015 san diego ca usa may 7 9 2015 workshop track proceedings,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2015,"Algorithmic Robustness for Semi-Supervised (ε, γ, τ)-Good Metric Learning",,journals/corr/NicolaeSHGA14,DBLP,algorithmic robustness for semi supervised good metric learning,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2015,Audio Source Separation with Discriminative Scattering Networks,,journals/corr/SprechmannBL14,DBLP,audio source separation with discriminative scattering networks,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2015,Classifier with Hierarchical Topographical Maps as Internal Representation,,journals/corr/HartonoHT14,DBLP,classifier with hierarchical topographical maps as internal representation,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2015,Deep learning with Elastic Averaging SGD,,journals/corr/ZhangCL14a,DBLP,deep learning with elastic averaging sgd,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2015,Deep metric learning using Triplet network,,journals/corr/HofferA14,DBLP,deep metric learning using triplet network,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2015,Efficient Exact Gradient Update for training Deep Networks with Very Large Sparse Targets,,journals/corr/Vincent14,DBLP,efficient exact gradient update for training deep networks with very large sparse targets,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2015,Generative Class-conditional Autoencoders,,journals/corr/RudyT14,DBLP,generative class conditional autoencoders,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2015,In Search of the Real Inductive Bias: On the Role of Implicit Regularization in Deep Learning,,journals/corr/NeyshaburTS14,DBLP,in search of the real inductive bias on the role of implicit regularization in deep learning,"We present experiments demonstrating that some other form of capacity control, different from network size, plays a central role in learning multilayer feed-forward networks. We argue, partially through analogy to matrix factorization, that this is an inductive bias that can help shed light on deep learning.",Semantic Scholar DBLP identifier,In Search of the Real Inductive Bias: On the Role of Implicit Regularization in Deep Learning,100.0,,4b675d8f63888d7d6d7d77a0834efa5eaded64c5,abstract_found,,46
ICLR,pre_gpt,2015,Learning Deep Structured Models,,journals/corr/ChenSYU14,DBLP,learning deep structured models,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2015,Low precision arithmetic for deep learning,,journals/corr/CourbariauxBD14,DBLP,low precision arithmetic for deep learning,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2015,Multiple Object Recognition with Visual Attention,,journals/corr/BaMK14,DBLP,multiple object recognition with visual attention,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2015,On the Importance of a Hierarchy for Learning Continuous Vector Representations of a Label Space,,journals/corr/NamF14,DBLP,on the importance of a hierarchy for learning continuous vector representations of a label space,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2015,Score Function Features for Discriminative Learning,,journals/corr/JanzaminSA14a,DBLP,score function features for discriminative learning,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2015,Target Propagation,,journals/corr/LeeZBB14,DBLP,target propagation,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2016,"4th International Conference on Learning Representations, ICLR 2016, San Juan, Puerto Rico, May 2-4, 2016, Conference Track Proceedings",,conf/iclr/2016,DBLP,4th international conference on learning representations iclr 2016 san juan puerto rico may 2 4 2016 conference track proceedings,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2016,Convergent Learning: Do different neural networks learn the same representations?,,journals/corr/LiYCLH15,DBLP,convergent learning do different neural networks learn the same representations,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2016,Data-Dependent Path Normalization in Neural Networks,,journals/corr/NeyshaburTSS15,DBLP,data dependent path normalization in neural networks,"We propose a unified framework for neural net normalization, regularization and optimization, which includes Path-SGD and Batch-Normalization and interpolates between them across two different dimensions. Through this framework we investigate issue of invariance of the optimization, data dependence and the connection with natural gradients.",Semantic Scholar DBLP identifier,Data-Dependent Path Normalization in Neural Networks,100.0,,19cd60fb4032f27fa5dd791e53e57892c4052908,abstract_found,,44
ICLR,pre_gpt,2016,Distributional Smoothing by Virtual Adversarial Examples,,journals/corr/MiyatoMKNI15,DBLP,distributional smoothing by virtual adversarial examples,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2016,Modeling Visual Representations: Defining Properties and Deep Approximations,,journals/corr/Soatto14,DBLP,modeling visual representations defining properties and deep approximations,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2016,Neural Random-Access Machines,,journals/corr/KurachAS15,DBLP,neural random access machines,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2016,Surpassing Humans in Boundary Detection using Deep Learning,,journals/corr/Kokkinos15,DBLP,surpassing humans in boundary detection using deep learning,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2016,Variational Gaussian Process,,journals/corr/TranRB15,DBLP,variational gaussian process,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2016,When crowds hold privileges: Bayesian unsupervised representation learning with oracle constraints,,journals/corr/KaraletsosBR15,DBLP,when crowds hold privileges bayesian unsupervised representation learning with oracle constraints,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2017,"5th International Conference on Learning Representations, ICLR 2017, Toulon, France, April 24-26, 2017, Conference Track Proceedings",,conf/iclr/2017,DBLP,5th international conference on learning representations iclr 2017 toulon france april 24 26 2017 conference track proceedings,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2017,"5th International Conference on Learning Representations, ICLR 2017, Toulon, France, April 24-26, 2017, Workshop Track Proceedings",,conf/iclr/2017w,DBLP,5th international conference on learning representations iclr 2017 toulon france april 24 26 2017 workshop track proceedings,,,,,,,no_abstract_found,,0
