venue,era,year,title,doi,dblp_key,canonical_source
ICML,post_gpt,2023,"""Why did the Model Fail?"": Attributing Model Performance Changes to Distribution Shifts",,conf/icml/ZhangSGJ23,DBLP
ICML,post_gpt,2023,2D-Shapley: A Framework for Fragmented Data Valuation,,conf/icml/LiuJCCJ23,DBLP
ICML,post_gpt,2023,A Category-theoretical Meta-analysis of Definitions of Disentanglement,,conf/icml/ZhangS23,DBLP
ICML,post_gpt,2023,A Closer Look at Few-shot Classification Again,,conf/icml/LuoWZGXS23,DBLP
ICML,post_gpt,2023,A Closer Look at Self-Supervised Lightweight Vision Transformers,,conf/icml/WangGL0H23,DBLP
ICML,post_gpt,2023,A Closer Look at the Intervention Procedure of Concept Bottleneck Models,,conf/icml/ShinJAL23,DBLP
ICML,post_gpt,2023,A Complete Expressiveness Hierarchy for Subgraph GNNs via Subgraph Weisfeiler-Lehman Tests,,conf/icml/ZhangFDHW23,DBLP
ICML,post_gpt,2023,A Conditional Normalizing Flow for Accelerated Multi-Coil MR Imaging,,conf/icml/WenAS23,DBLP
ICML,post_gpt,2023,A Connection between One-Step RL and Critic Regularization in Reinforcement Learning,,conf/icml/EysenbachGLS23,DBLP
ICML,post_gpt,2023,A Coupled Flow Approach to Imitation Learning,,conf/icml/FreundSK23,DBLP
ICML,post_gpt,2023,A Critical Revisit of Adversarial Robustness in 3D Point Cloud Recognition with Diffusion-Driven Purification,,conf/icml/SunWNYMX23,DBLP
ICML,post_gpt,2023,A Critical View of Vision-Based Long-Term Dynamics Prediction Under Environment Misalignment,,conf/icml/XieZKL0A23,DBLP
ICML,post_gpt,2023,A Deep Conjugate Direction Method for Iteratively Solving Linear Systems,,conf/icml/KanedaACK0T23,DBLP
ICML,post_gpt,2023,A Distribution Optimization Framework for Confidence Bounds of Risk Measures,,conf/icml/LiangL23,DBLP
ICML,post_gpt,2023,A Fast Optimistic Method for Monotone Variational Inequalities,,conf/icml/SedlmayerNB23,DBLP
ICML,post_gpt,2023,"A Fast, Well-Founded Approximation to the Empirical Neural Tangent Kernel",,conf/icml/MohamadiBS23,DBLP
ICML,post_gpt,2023,A Flexible Diffusion Model,,conf/icml/DuZYD23,DBLP
ICML,post_gpt,2023,A Framework for Adapting Offline Algorithms to Solve Combinatorial Multi-Armed Bandit Problems with Bandit Feedback,,conf/icml/NieNZAQ23,DBLP
ICML,post_gpt,2023,A Fully First-Order Method for Stochastic Bilevel Optimization,,conf/icml/KwonKWN23,DBLP
ICML,post_gpt,2023,A Game-Theoretic Framework for Managing Risk in Multi-Agent Systems,,conf/icml/SlumbersMBM0023,DBLP
ICML,post_gpt,2023,A General Representation Learning Framework with Generalization Performance Guarantees,,conf/icml/CuiLYL23,DBLP
ICML,post_gpt,2023,A Generalization of ViT/MLP-Mixer to Graphs,,conf/icml/HeH0PLB23,DBLP
ICML,post_gpt,2023,A Gromov-Wasserstein Geometric View of Spectrum-Preserving Graph Coarsening,,conf/icml/0004YYC23,DBLP
ICML,post_gpt,2023,A Group Symmetric Stochastic Differential Equation Model for Molecule Multi-modal Pretraining,,conf/icml/LiuDMG023,DBLP
ICML,post_gpt,2023,A Hybrid Quantum-Classical Approach based on the Hadamard Transform for the Convolutional Layer,,conf/icml/PanZAC23,DBLP
ICML,post_gpt,2023,A Kernel Stein Test of Goodness of Fit for Sequential Models,,conf/icml/BaumKG23,DBLP
ICML,post_gpt,2023,A Kernel-Based View of Language Model Fine-Tuning,,conf/icml/MalladiWYCA23,DBLP
ICML,post_gpt,2023,A Kernelized Stein Discrepancy for Biological Sequences,,conf/icml/AminWM23,DBLP
ICML,post_gpt,2023,A Large-Scale Study of Probabilistic Calibration in Neural Network Regression,,conf/icml/DheurT23,DBLP
ICML,post_gpt,2023,A Law of Robustness beyond Isoperimetry,,conf/icml/WuH023,DBLP
ICML,post_gpt,2023,A Mathematical Model for Curriculum Learning for Parities,,conf/icml/CornacchiaM23,DBLP
ICML,post_gpt,2023,A Model-Based Method for Minimizing CVaR and Beyond,,conf/icml/MengG23,DBLP
ICML,post_gpt,2023,A Model-free Closeness-of-influence Test for Features in Supervised Learning,,conf/icml/MehrabiR23,DBLP
ICML,post_gpt,2023,A Modern Look at the Relationship between Sharpness and Generalization,,conf/icml/AndriushchenkoC23,DBLP
ICML,post_gpt,2023,A Near-Optimal Algorithm for Safe Reinforcement Learning Under Instantaneous Hard Constraints,,conf/icml/ShiLS23,DBLP
ICML,post_gpt,2023,A Nearly-Optimal Bound for Fast Regression with ℓ∞ Guarantee,,conf/icml/0002YY023,DBLP
ICML,post_gpt,2023,A Neural PDE Solver with Temporal Stencil Modeling,,conf/icml/SunYY23,DBLP
ICML,post_gpt,2023,A New PHO-rmula for Improved Performance of Semi-Structured Networks,,conf/icml/Rugamer23,DBLP
ICML,post_gpt,2023,A Picture of the Space of Typical Learnable Tasks,,conf/icml/RameshMGYTTSC23,DBLP
ICML,post_gpt,2023,A Reinforcement Learning Framework for Dynamic Mediation Analysis,,conf/icml/GeWSW023,DBLP
ICML,post_gpt,2023,A Robust Optimisation Perspective on Counterexample-Guided Repair of Neural Networks,,conf/icml/BoetiusLS23,DBLP
ICML,post_gpt,2023,A Robust Test for the Stationarity Assumption in Sequential Decision Making,,conf/icml/WangSW23,DBLP
ICML,post_gpt,2023,A Scalable Frank-Wolfe-Based Algorithm for the Max-Cut SDP,,conf/icml/PhamGS23,DBLP
ICML,post_gpt,2023,A Simple Zero-shot Prompt Weighting Technique to Improve Prompt Ensembling in Text-Image Models,,conf/icml/Allingham0DGCTL23,DBLP
ICML,post_gpt,2023,A Statistical Perspective on Retrieval-Based Models,,conf/icml/0001RZ23,DBLP
ICML,post_gpt,2023,A Study of Global and Episodic Bonuses for Exploration in Contextual MDPs,,conf/icml/HenaffJR23,DBLP
ICML,post_gpt,2023,A Study on Transformer Configuration and Training Objective,,conf/icml/XueCSRZHC0023,DBLP
ICML,post_gpt,2023,A Theoretical Analysis of the Learning Dynamics under Class Imbalance,,conf/icml/FrancaziBL23,DBLP
ICML,post_gpt,2023,A Three-regime Model of Network Pruning,,conf/icml/ZhouYCM23,DBLP
ICML,post_gpt,2023,A Toy Model of Universality: Reverse Engineering how Networks Learn Group Operations,,conf/icml/ChughtaiCN23,DBLP
ICML,post_gpt,2023,A Two-Stage Active Learning Algorithm for k-Nearest Neighbors,,conf/icml/RittlerC23,DBLP
