venue,era,year,title,doi,dblp_key,canonical_source,normalized_title,abstract,abstract_source,matched_title,match_score,openalex_id,semantic_scholar_id,retrieval_status,retrieval_error,token_count
NeurIPS,pre_gpt,1987,'Ensemble' Boltzmann Units have Collective Computational Properties like those of Hopfield and Tank Neurons,,conf/nips/DerthickT87,DBLP,ensemble boltzmann units have collective computational properties like those of hopfield and tank neurons,,,,,,,no_abstract_found,,0
NeurIPS,pre_gpt,1987,A 'Neural' Network that Learns to Play Backgammon,,conf/nips/TesauroS87,DBLP,a neural network that learns to play backgammon,,,,,,,no_abstract_found,,0
NeurIPS,pre_gpt,1987,A Computer Simulation of Cerebral Neocortex: Computational Capabilities of Nonlinear Neural Networks,,conf/nips/SingerD87,DBLP,a computer simulation of cerebral neocortex computational capabilities of nonlinear neural networks,,,,,,,no_abstract_found,,0
NeurIPS,pre_gpt,1987,A Computer Simulation of Olfactory Cortex with Functional Implications for Storage and Retrieval of Olfactory Information,,conf/nips/BowerW87,DBLP,a computer simulation of olfactory cortex with functional implications for storage and retrieval of olfactory information,,,,,,,no_abstract_found,,0
NeurIPS,pre_gpt,1987,A Dynamical Approach to Temporal Pattern Processing,,conf/nips/StornettaHH87,DBLP,a dynamical approach to temporal pattern processing,,,,,,,no_abstract_found,,0
NeurIPS,pre_gpt,1987,A Mean Field Theory of Layer IV of Visual Cortex and Its Application to Artificial Neural Networks,,conf/nips/Scofield87,DBLP,a mean field theory of layer iv of visual cortex and its application to artificial neural networks,,,,,,,no_abstract_found,,0
NeurIPS,pre_gpt,1987,A Method for the Design of Stable Lateral Inhibition Networks that is Robust in the Presence of Circuit Parasitics,,conf/nips/WyattS87,DBLP,a method for the design of stable lateral inhibition networks that is robust in the presence of circuit parasitics,,,,,,,no_abstract_found,,0
NeurIPS,pre_gpt,1987,A Neural Network Classifier Based on Coding Theory,,conf/nips/ChiuehG87,DBLP,a neural network classifier based on coding theory,,,,,,,no_abstract_found,,0
NeurIPS,pre_gpt,1987,A Neural-Network Solution to the Concentrator Assignment Problem,,conf/nips/TagliariniP87,DBLP,a neural network solution to the concentrator assignment problem,,,,,,,no_abstract_found,,0
NeurIPS,pre_gpt,1987,A Novel Net that Learns Sequential Decision Process,,conf/nips/SunLC87,DBLP,a novel net that learns sequential decision process,,,,,,,no_abstract_found,,0
NeurIPS,pre_gpt,1987,A Trellis-Structured Neural Network,,conf/nips/PetscheD87,DBLP,a trellis structured neural network,,,,,,,no_abstract_found,,0
NeurIPS,pre_gpt,1987,An Adaptive and Heterodyne Filtering Procedure for the Imaging of Moving Objects,,conf/nips/SchulingMZ87,DBLP,an adaptive and heterodyne filtering procedure for the imaging of moving objects,,,,,,,no_abstract_found,,0
NeurIPS,pre_gpt,1987,An Artificial Neural Network for Spatio-Temporal Bipolar Patterns: Application to Phoneme Classification,,conf/nips/AtlasHM87,DBLP,an artificial neural network for spatio temporal bipolar patterns application to phoneme classification,,,,,,,no_abstract_found,,0
NeurIPS,pre_gpt,1987,An Optimization Network for Matrix Inversion,,conf/nips/JangLS87,DBLP,an optimization network for matrix inversion,,,,,,,no_abstract_found,,0
