venue,era,year,title,doi,dblp_key,canonical_source
ICML,pre_gpt,1988,A Hill-Climbing Approach to Machine Discovery,,conf/icml/RoseL88,DBLP
ICML,pre_gpt,1988,A Knowledge Intensive Approach to Concept Induction,,conf/icml/BergadanoG88,DBLP
ICML,pre_gpt,1988,Active Explanation Reduction: An Approach to the Multiple Explanations Problem,,conf/icml/RajamoneyD88,DBLP
ICML,pre_gpt,1988,An Approach Based on Integrated Learning to Generating Stories,,conf/icml/Carpineto88,DBLP
ICML,pre_gpt,1988,An Empirical Comparison of Genetic and Decision-Tree Classifiers,,conf/icml/Quinlan88,DBLP
ICML,pre_gpt,1988,AutoClass: A Bayesian Classification System,,conf/icml/CheesemanKSSTF88,DBLP
ICML,pre_gpt,1988,Boundaries of Operationality,,conf/icml/BravermanR88,DBLP
ICML,pre_gpt,1988,Building and Using Mental Models in a Sensory-Motor Domain,,conf/icml/Mel88,DBLP
ICML,pre_gpt,1988,Classifier Systems with Hamming Weights,,conf/icml/DavisY88,DBLP
ICML,pre_gpt,1988,Competitive Reinforcement Learning,,conf/icml/Lynne88,DBLP
ICML,pre_gpt,1988,Concept Simplification and Prediction Accuracy,,conf/icml/FisherS88,DBLP
ICML,pre_gpt,1988,Conceptual Clumping of Binary Vectors with Occam's Razor,,conf/icml/Segen88a,DBLP
ICML,pre_gpt,1988,Connectionist Learning of Expert Backgammon Evaluations,,conf/icml/Tesauro88,DBLP
ICML,pre_gpt,1988,Deferred Commitment in UNIMEM: Waiting to Learn,,conf/icml/Lebowitz88,DBLP
ICML,pre_gpt,1988,Diffy-S: Learning Robot Operator Schemata from Examples,,conf/icml/Kadie88,DBLP
ICML,pre_gpt,1988,Experimental Results from an Evaluation of Algorithms that Learn to Control Dynamic Systems,,conf/icml/Sammut88,DBLP
ICML,pre_gpt,1988,Experiments on the Costs and Benefits of Windowing in ID3,,conf/icml/WirthC88,DBLP
ICML,pre_gpt,1988,Extending the Valiant Learning Model,,conf/icml/Amsterdam88,DBLP
ICML,pre_gpt,1988,Generalizing Number and Learning from Multiple Examples in Explanation Based Learning,,conf/icml/Cohen88,DBLP
ICML,pre_gpt,1988,Generalizing the Order of Operators in Macro-Operators,,conf/icml/Mooney88,DBLP
ICML,pre_gpt,1988,Hypothesis Filtering: A Practical Approach to Reliable Learning,,conf/icml/Etzioni88,DBLP
ICML,pre_gpt,1988,ID5: An Incremental ID3,,conf/icml/Utgoff88,DBLP
ICML,pre_gpt,1988,Improved Decision Trees: A Generalized Version of ID3,,conf/icml/ChengFIQ88,DBLP
ICML,pre_gpt,1988,Incremental Multiple Concept Learning Using Experiments,,conf/icml/Gross88,DBLP
ICML,pre_gpt,1988,Integrated Learning with Incorrect and Incomplete Theories,,conf/icml/Pazzani88,DBLP
ICML,pre_gpt,1988,Learning Categorical Decision Criteria in Biomedical Domains,,conf/icml/Spackman88,DBLP
ICML,pre_gpt,1988,Learning Graph Models of Shape,,conf/icml/Segen88,DBLP
ICML,pre_gpt,1988,Learning Systems of First-Order Rules,,conf/icml/Helft88,DBLP
ICML,pre_gpt,1988,Learning to Program by Examining and Modifying Cases,,conf/icml/Williams88,DBLP
ICML,pre_gpt,1988,Machine Invention of First Order Predicates by Inverting Resolution,,conf/icml/MuggletonB88,DBLP
ICML,pre_gpt,1988,"Machine Learning, Proceedings of the Fifth International Conference on Machine Learning, Ann Arbor, Michigan, USA, June 12-14, 1988",,conf/icml/1988,DBLP
ICML,pre_gpt,1988,Midgard: A Genetic Approach to Adaptive Load Balancing for Distributed Systems,,conf/icml/SannierG88,DBLP
ICML,pre_gpt,1988,On Asking the Right Questions,,conf/icml/KrawchukW88,DBLP
ICML,pre_gpt,1988,On the Tractability of Learning from Incomplete Theories,,conf/icml/MahadevanT88,DBLP
ICML,pre_gpt,1988,Population Size in classifier Systems,,conf/icml/Robertson88,DBLP
ICML,pre_gpt,1988,Reasoning about Operationality for Explanation-Based Learning,,conf/icml/Hirsh88,DBLP
ICML,pre_gpt,1988,Reduction: A Practical Mechanism of Searching for Regularity in Data,,conf/icml/Wu88,DBLP
ICML,pre_gpt,1988,Representation and Hidden Bias: Gray vs. Binary Coding for Genetic Algorithms,,conf/icml/CaruanaS88,DBLP
ICML,pre_gpt,1988,Some Chunks Are Expensive,,conf/icml/TambeN88,DBLP
ICML,pre_gpt,1988,Some Interesting Properties of a Connectionist Inductive Learning System,,conf/icml/WisniewskiA88,DBLP
ICML,pre_gpt,1988,"The Interdependencies of Theory Formation, Revision, and Experimentation",,conf/icml/FalkenhainerR88,DBLP
ICML,pre_gpt,1988,The Role of Forgetting in Learning,,conf/icml/MarkovitchS88,DBLP
ICML,pre_gpt,1988,Theory Discovery and the Hypothesis Language,,conf/icml/Kelly88,DBLP
ICML,pre_gpt,1988,Trading Off Simplicity and Coverage in Incremental concept Learning,,conf/icml/IbaWL88,DBLP
ICML,pre_gpt,1988,Tuning Rule-Based Systems to Their Environments,,conf/icml/Tallis88,DBLP
ICML,pre_gpt,1988,Two New Frameworks for Learning,,conf/icml/NatarajanT88,DBLP
ICML,pre_gpt,1988,Using Experience-Based Learning in Game Playing,,conf/icml/JongS88,DBLP
ICML,pre_gpt,1988,Using Weighted Networks to Represent Classification Knowledge in Noisy Domains,,conf/icml/TanE88,DBLP
ICML,pre_gpt,1988,Using a Generalization Hierarchy to Learn from Examples,,conf/icml/Kerber88,DBLP
ICML,pre_gpt,1988,Utilizing Experience for Improving the Tactical Manager,,conf/icml/EricksonZ88,DBLP
ICML,pre_gpt,1989,"""Learning by Instruction"" in connectionist Systems",,conf/icml/Diederich89,DBLP
ICML,pre_gpt,1989,A Bootstrapping Approach to Concept Clustering,,conf/icml/MorkK89,DBLP
ICML,pre_gpt,1989,A Description of Preference Criterion in Constructive Learning: A Discussion of Basis Issues,,conf/icml/ZhangM89,DBLP
ICML,pre_gpt,1989,A Formal Framework for Learning in Embedded Systems,,conf/icml/Kaelbling89,DBLP
ICML,pre_gpt,1989,A Framework for Improving Efficiency and Accuracy,,conf/icml/Wogulis89,DBLP
ICML,pre_gpt,1989,A Knowledge-Level Analysis of Informing,,conf/icml/Hsu89,DBLP
ICML,pre_gpt,1989,A Mathematical Framework for Studying Representation,,conf/icml/HolteZ89,DBLP
ICML,pre_gpt,1989,A Retrieval Model Using Feature Selection,,conf/icml/Seifert89,DBLP
ICML,pre_gpt,1989,A Role for Anticipation in Reactive Systems that Learn,,conf/icml/WhiteheadB89,DBLP
ICML,pre_gpt,1989,A Schema for an Integrated Learning System,,conf/icml/Wollowski89,DBLP
ICML,pre_gpt,1989,A Theory of Justified Reformulations,,conf/icml/Subramanian89a,DBLP
ICML,pre_gpt,1989,A Tight Integration of Deductive Learning,,conf/icml/Widmer89,DBLP
ICML,pre_gpt,1989,Adaptation-Based Explanation: Explanations as Cases,,conf/icml/Kass89,DBLP
ICML,pre_gpt,1989,Adaptive Learning of Decision-Theoretic Search Control Knowledge,,conf/icml/WefaldR89,DBLP
ICML,pre_gpt,1989,An Empirical Analysis of EBL Approaches for Learning Plan Schemata,,conf/icml/Shavlik89,DBLP
ICML,pre_gpt,1989,An Experimental Comparison of Human and Machine Learning Formalisms,,conf/icml/MuggletonBMM89,DBLP
ICML,pre_gpt,1989,An Exploration Into Incremental Learning: the INFLUENCE System,,conf/icml/Cornuejols89,DBLP
ICML,pre_gpt,1989,An Incremental Genetic Algorithm for Real-Time Learning,,conf/icml/Fogarty89,DBLP
ICML,pre_gpt,1989,An Object-Oriented Representation for Search algorithms,,conf/icml/Mostow89,DBLP
ICML,pre_gpt,1989,An Ounce of Knowledge is Worth a Ton of Data: Quantitative studies of the Trade-Off between Expertise and Data Based On Statistically Well-Founded Empirical Induction,,conf/icml/Gaines89,DBLP
ICML,pre_gpt,1989,Approximating Learned Search Control Knowledge,,conf/icml/ChaseZPBMH89,DBLP
ICML,pre_gpt,1989,Atoms of Learning II: Adaptive Strategies A Study of Two-Person Zero-Sum Competition,,conf/icml/Selfridge89,DBLP
ICML,pre_gpt,1989,Augmenting Domain Theory for Explanation-Based Generalization,,conf/icml/Ali89,DBLP
ICML,pre_gpt,1989,Automatic Construction of a Hierarchical Generate-and-Test Algorithm,,conf/icml/MohanT89,DBLP
ICML,pre_gpt,1989,"Bacon, Data Analysis and Artificial Intelligence",,conf/icml/Schaffer89,DBLP
ICML,pre_gpt,1989,Building A Learning Bias from Perceived Dependencies,,conf/icml/Marie89,DBLP
ICML,pre_gpt,1989,"Combining Case-Based Reasoning, Explanation-Based Learning, and Learning form Instruction",,conf/icml/Redmond89,DBLP
