venue,era,year,title,doi,dblp_key,canonical_source,normalized_title,abstract,abstract_source,matched_title,match_score,openalex_id,semantic_scholar_id,retrieval_status,retrieval_error,token_count
AAAI,pre_gpt,1980,A Basis for a Theory of Program Synthesis,,conf/aaai/Subrahmanyam80,DBLP,a basis for a theory of program synthesis,,,,,,,no_abstract_found,,0
AAAI,pre_gpt,1980,A Computer Model of Child Language Learning,,conf/aaai/Selfridge80,DBLP,a computer model of child language learning,,,,,,,no_abstract_found,,0
AAAI,pre_gpt,1980,A Frame-Based Production System Architecture,,conf/aaai/SmithC80,DBLP,a frame based production system architecture,,,,,,,no_abstract_found,,0
AAAI,pre_gpt,1980,A Knowledge Based Design System for Digital Electronics,,conf/aaai/Grinberg80,DBLP,a knowledge based design system for digital electronics,,,,,,,no_abstract_found,,0
AAAI,pre_gpt,1980,A Planner for Reasoning about Knowledge and Action,,conf/aaai/Appelt80,DBLP,a planner for reasoning about knowledge and action,,,,,,,no_abstract_found,,0
AAAI,pre_gpt,1980,A Process for Evaluating Tree-Consistency,,conf/aaai/Goodson80,DBLP,a process for evaluating tree consistency,,,,,,,no_abstract_found,,0
AAAI,pre_gpt,1980,A Program Model and Knowledge Base for Computer Aided Program Synthesis,,conf/aaai/Wood80,DBLP,a program model and knowledge base for computer aided program synthesis,,,,,,,no_abstract_found,,0
AAAI,pre_gpt,1980,A Representation Language Language,,conf/aaai/GreinerL80,DBLP,a representation language language,,,,,,,no_abstract_found,,0
AAAI,pre_gpt,1980,A Statistical Technique for Recovering Surface Orientation from Texture in Natural Imagery,,conf/aaai/Witkin80,DBLP,a statistical technique for recovering surface orientation from texture in natural imagery,,,,,,,no_abstract_found,,0
AAAI,pre_gpt,1980,A Technique for Establishing Completeness Results in Theorem Proving with Equality,,conf/aaai/Peterson80,DBLP,a technique for establishing completeness results in theorem proving with equality,,,,,,,no_abstract_found,,0
AAAI,pre_gpt,1980,A Theory of Metric Spatial Inference,,conf/aaai/McDermott80,DBLP,a theory of metric spatial inference,,,,,,,no_abstract_found,,0
AAAI,pre_gpt,1980,A Word-Finding Algorithm with a Dynamic Lexical-Semantic Memory for Patients with Anomia Using a Speech Prosthesis,,conf/aaai/ColbyCGP80,DBLP,a word finding algorithm with a dynamic lexical semantic memory for patients with anomia using a speech prosthesis,,,,,,,no_abstract_found,,0
AAAI,pre_gpt,1980,An Application of the Prospector System to DOE's National Uranium Resource Evaluation,,conf/aaai/Gaschnig80,DBLP,an application of the prospector system to doe s national uranium resource evaluation,,,,,,,no_abstract_found,,0
AAAI,pre_gpt,1980,An Approach to Acquiring and Applying Knowledge,,conf/aaai/HaasH80,DBLP,an approach to acquiring and applying knowledge,,,,,,,no_abstract_found,,0
AAAI,pre_gpt,1980,An Efficient Relevance Criterion for Mechanical Theorem Proving,,conf/aaai/Plaisted80,DBLP,an efficient relevance criterion for mechanical theorem proving,,,,,,,no_abstract_found,,0
