venue,era,year,title,doi,dblp_key,canonical_source,normalized_title,abstract,abstract_source,matched_title,match_score,openalex_id,semantic_scholar_id,retrieval_status,retrieval_error,token_count
ICML,post_gpt,2023,"""Why did the Model Fail?"": Attributing Model Performance Changes to Distribution Shifts",,conf/icml/ZhangSGJ23,DBLP,why did the model fail attributing model performance changes to distribution shifts,,,,,,,no_abstract_found,,0
ICML,post_gpt,2023,A Closer Look at Self-Supervised Lightweight Vision Transformers,,conf/icml/WangGL0H23,DBLP,a closer look at self supervised lightweight vision transformers,,,,,,,no_abstract_found,,0
ICML,post_gpt,2023,A Connection between One-Step RL and Critic Regularization in Reinforcement Learning,,conf/icml/EysenbachGLS23,DBLP,a connection between one step rl and critic regularization in reinforcement learning,,,,,,,no_abstract_found,,0
ICML,post_gpt,2023,A Critical Revisit of Adversarial Robustness in 3D Point Cloud Recognition with Diffusion-Driven Purification,,conf/icml/SunWNYMX23,DBLP,a critical revisit of adversarial robustness in 3d point cloud recognition with diffusion driven purification,,,,,,,no_abstract_found,,0
ICML,post_gpt,2023,A Deep Conjugate Direction Method for Iteratively Solving Linear Systems,,conf/icml/KanedaACK0T23,DBLP,a deep conjugate direction method for iteratively solving linear systems,,,,,,,no_abstract_found,,0
ICML,post_gpt,2023,"A Fast, Well-Founded Approximation to the Empirical Neural Tangent Kernel",,conf/icml/MohamadiBS23,DBLP,a fast well founded approximation to the empirical neural tangent kernel,,,,,,,no_abstract_found,,0
ICML,post_gpt,2023,A Flexible Diffusion Model,,conf/icml/DuZYD23,DBLP,a flexible diffusion model,,,,,,,no_abstract_found,,0
ICML,post_gpt,2023,A Game-Theoretic Framework for Managing Risk in Multi-Agent Systems,,conf/icml/SlumbersMBM0023,DBLP,a game theoretic framework for managing risk in multi agent systems,,,,,,,no_abstract_found,,0
ICML,post_gpt,2023,A General Representation Learning Framework with Generalization Performance Guarantees,,conf/icml/CuiLYL23,DBLP,a general representation learning framework with generalization performance guarantees,,,,,,,no_abstract_found,,0
ICML,post_gpt,2023,A Generalization of ViT/MLP-Mixer to Graphs,,conf/icml/HeH0PLB23,DBLP,a generalization of vit mlp mixer to graphs,,,,,,,no_abstract_found,,0
ICML,post_gpt,2023,A Kernel Stein Test of Goodness of Fit for Sequential Models,,conf/icml/BaumKG23,DBLP,a kernel stein test of goodness of fit for sequential models,,,,,,,no_abstract_found,,0
ICML,post_gpt,2023,A Kernel-Based View of Language Model Fine-Tuning,,conf/icml/MalladiWYCA23,DBLP,a kernel based view of language model fine tuning,,,,,,,no_abstract_found,,0
ICML,post_gpt,2023,A Kernelized Stein Discrepancy for Biological Sequences,,conf/icml/AminWM23,DBLP,a kernelized stein discrepancy for biological sequences,,,,,,,no_abstract_found,,0
ICML,post_gpt,2023,A Law of Robustness beyond Isoperimetry,,conf/icml/WuH023,DBLP,a law of robustness beyond isoperimetry,,,,,,,no_abstract_found,,0
ICML,post_gpt,2023,A Mathematical Model for Curriculum Learning for Parities,,conf/icml/CornacchiaM23,DBLP,a mathematical model for curriculum learning for parities,,,,,,,no_abstract_found,,0
ICML,post_gpt,2023,A Picture of the Space of Typical Learnable Tasks,,conf/icml/RameshMGYTTSC23,DBLP,a picture of the space of typical learnable tasks,,,,,,,no_abstract_found,,0
ICML,post_gpt,2023,A Robust Test for the Stationarity Assumption in Sequential Decision Making,,conf/icml/WangSW23,DBLP,a robust test for the stationarity assumption in sequential decision making,,,,,,,no_abstract_found,,0
ICML,post_gpt,2023,A Scalable Frank-Wolfe-Based Algorithm for the Max-Cut SDP,,conf/icml/PhamGS23,DBLP,a scalable frank wolfe based algorithm for the max cut sdp,,,,,,,no_abstract_found,,0
ICML,post_gpt,2023,A Statistical Perspective on Retrieval-Based Models,,conf/icml/0001RZ23,DBLP,a statistical perspective on retrieval based models,,,,,,,no_abstract_found,,0
ICML,post_gpt,2023,A Study on Transformer Configuration and Training Objective,,conf/icml/XueCSRZHC0023,DBLP,a study on transformer configuration and training objective,,,,,,,no_abstract_found,,0
ICML,post_gpt,2023,A Theoretical Analysis of the Learning Dynamics under Class Imbalance,,conf/icml/FrancaziBL23,DBLP,a theoretical analysis of the learning dynamics under class imbalance,,,,,,,no_abstract_found,,0
ICML,post_gpt,2023,A Two-Stage Active Learning Algorithm for k-Nearest Neighbors,,conf/icml/RittlerC23,DBLP,a two stage active learning algorithm for k nearest neighbors,,,,,,,no_abstract_found,,0
