venue,era,year,title,doi,dblp_key,canonical_source,normalized_title,abstract,abstract_source,matched_title,match_score,openalex_id,semantic_scholar_id,retrieval_status,retrieval_error,token_count
ICLR,pre_gpt,2013,"1st International Conference on Learning Representations, ICLR 2013, Scottsdale, Arizona, USA, May 2-4, 2013, Conference Track Proceedings",,conf/iclr/2013,DBLP,1st international conference on learning representations iclr 2013 scottsdale arizona usa may 2 4 2013 conference track proceedings,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2013,"1st International Conference on Learning Representations, ICLR 2013, Scottsdale, Arizona, USA, May 2-4, 2013, Workshop Track Proceedings",,conf/iclr/2013w,DBLP,1st international conference on learning representations iclr 2013 scottsdale arizona usa may 2 4 2013 workshop track proceedings,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2013,A Nested HDP for Hierarchical Topic Models,,journals/corr/abs-1301-3570,DBLP,a nested hdp for hierarchical topic models,"We develop a nested hierarchical Dirichlet process (nHDP) for hierarchical topic modeling. The nHDP is a generalization of the nested Chinese restaurant process (nCRP) that allows each word to follow its own path to a topic node according to a document-specific distribution on a shared tree. This alleviates the rigid, single-path formulation of the nCRP, allowing a document to more easily express thematic borrowings as a random effect. We demonstrate our algorithm on 1.8 million documents from The New York Times.",Semantic Scholar DBLP identifier,A Nested HDP for Hierarchical Topic Models,100.0,,204711170720d254b19b4141ac994beeaf87f5c6,abstract_found,,81
ICLR,pre_gpt,2013,A Semantic Matching Energy Function for Learning with Multi-relational Data,,journals/corr/abs-1301-3485,DBLP,a semantic matching energy function for learning with multi relational data,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2013,"Adaptive learning rates and parallelization for stochastic, sparse, non-smooth gradients",,journals/corr/abs-1301-3764,DBLP,adaptive learning rates and parallelization for stochastic sparse non smooth gradients,"Recent work has established an empirically successful framework for adapting learning rates for stochastic gradient descent (SGD). This effectively removes all needs for tuning, while automatically reducing learning rates over time on stationary problems, and permitting learning rates to grow appropriately in non-stationary tasks. Here, we extend the idea in three directions, addressing proper minibatch parallelization, including reweighted updates for sparse or orthogonal gradients, improving robustness on non-smooth loss functions, in the process replacing the diagonal Hessian estimation procedure that may not always be available by a robust finite-difference approximation. The final algorithm integrates all these components, has linear complexity and is hyper-parameter free.",Semantic Scholar DBLP identifier,"Adaptive learning rates and parallelization for stochastic, sparse, non-smooth gradients",100.0,,b4b0a3a748dfd2618ffcf1f94411e339e1e78775,abstract_found,,104
ICLR,pre_gpt,2013,Affinity Weighted Embedding,,journals/corr/abs-1301-4171,DBLP,affinity weighted embedding,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2013,Auto-pooling: Learning to Improve Invariance of Image Features from Image Sequences,,journals/corr/abs-1301-3323,DBLP,auto pooling learning to improve invariance of image features from image sequences,"Learning invariant representations from images is one of the hardest challenges facing computer vision. Spatial pooling is widely used to create invariance to spatial shifting, but it is restricted to convolutional models. In this paper, we propose a novel pooling method that can learn soft clustering of features from image sequences. It is trained to improve the temporal coherence of features, while keeping the information loss at minimum. Our method does not use spatial information, so it can be used with non-convolutional models too. Experiments on images extracted from natural videos showed that our method can cluster similar features together. When trained by convolutional features, auto-pooling outperformed traditional spatial pooling on an image classification task, even though it does not use the spatial topology of features.",Semantic Scholar DBLP identifier,Auto-pooling: Learning to Improve Invariance of Image Features from Image Sequences,100.0,,2914ae75b1d8aae2b19d14323d35c719c5342712,abstract_found,,126
ICLR,pre_gpt,2013,Barnes-Hut-SNE,,journals/corr/abs-1301-3342,DBLP,barnes hut sne,"The paper presents an O(N log N)-implementation of t-SNE -- an embedding technique that is commonly used for the visualization of high-dimensional data in scatter plots and that normally runs in O(N^2). The new implementation uses vantage-point trees to compute sparse pairwise similarities between the input data objects, and it uses a variant of the Barnes-Hut algorithm - an algorithm used by astronomers to perform N-body simulations - to approximate the forces between the corresponding points in the embedding. Our experiments show that the new algorithm, called Barnes-Hut-SNE, leads to substantial computational advantages over standard t-SNE, and that it makes it possible to learn embeddings of data sets with millions of objects.",Semantic Scholar DBLP identifier,Barnes-Hut-SNE,100.0,,4aa77b42231b111a695aea35bfdbb9a82026daa3,abstract_found,,112
ICLR,pre_gpt,2013,Big Neural Networks Waste Capacity,,journals/corr/abs-1301-3583,DBLP,big neural networks waste capacity,"This article exposes the failure of some big neural networks to leverage added capacity to reduce underfitting. Past research suggest diminishing returns when increasing the size of neural networks. Our experiments on ImageNet LSVRC-2010 show that this may be due to the fact there are highly diminishing returns for capacity in terms of training error, leading to underfitting. This suggests that the optimization method - first order gradient descent - fails at this regime. Directly attacking this problem, either through the optimization method or the choices of parametrization, may allow to improve the generalization error on large datasets, for which a large capacity is required.",Semantic Scholar DBLP identifier,Big Neural Networks Waste Capacity,100.0,,306c7cd74beda5a09662b5f289bba50a2b5ea308,abstract_found,,105
ICLR,pre_gpt,2013,Block Coordinate Descent for Sparse NMF,,journals/corr/abs-1301-3527,DBLP,block coordinate descent for sparse nmf,"Nonnegative matrix factorization (NMF) has become a ubiquitous tool for data analysis. An important variant is the sparse NMF problem which arises when we explicitly require the learnt features to be sparse. A natural measure of sparsity is the L$_0$ norm, however its optimization is NP-hard. Mixed norms, such as L$_1$/L$_2$ measure, have been shown to model sparsity robustly, based on intuitive attributes that such measures need to satisfy. This is in contrast to computationally cheaper alternatives such as the plain L$_1$ norm. However, present algorithms designed for optimizing the mixed norm L$_1$/L$_2$ are slow and other formulations for sparse NMF have been proposed such as those based on L$_1$ and L$_0$ norms. Our proposed algorithm allows us to solve the mixed norm sparsity constraints while not sacrificing computation time. We present experimental evidence on real-world datasets that shows our new algorithm performs an order of magnitude faster compared to the current state-of-the-art solvers optimizing the mixed norm and is suitable for large-scale datasets.",Semantic Scholar DBLP identifier,Block Coordinate Descent for Sparse NMF,100.0,,c40b92a0d8247b116a5afccd8dc583a533ed3999,abstract_found,,164
ICLR,pre_gpt,2013,Boltzmann Machines and Denoising Autoencoders for Image Denoising,,journals/corr/abs-1301-3468,DBLP,boltzmann machines and denoising autoencoders for image denoising,"Image denoising based on a probabilistic model of local image patches has been employed by various researchers, and recently a deep (denoising) autoencoder has been proposed by Burger et al. [2012] and Xie et al. [2012] as a good model for this. In this paper, we propose that another popular family of models in the field of deep learning, called Boltzmann machines, can perform image denoising as well as, or in certain cases of high level of noise, better than denoising autoencoders. We empirically evaluate the two models on three different sets of images with different types and levels of noise. Throughout the experiments we also examine the effect of the depth of the models. The experiments confirmed our claim and revealed that the performance can be improved by adding more hidden layers, especially when the level of noise is high.",Semantic Scholar DBLP identifier,Boltzmann Machines and Denoising Autoencoders for Image Denoising,100.0,,1782f22ccc1dddc1252c4eb0fe6400de553126d5,abstract_found,,141
ICLR,pre_gpt,2013,Clustering Learning for Robotic Vision,,journals/corr/abs-1301-2820,DBLP,clustering learning for robotic vision,We present the clustering learning technique applied to multi-layer feedforward deep neural networks. We show that this unsupervised learning technique can compute network filters with only a few minutes and a much reduced set of parameters. The goal of this paper is to promote the technique for general-purpose robotic vision systems. We report its use in static image datasets and object tracking datasets. We show that networks trained with clustering learning can outperform large networks trained for many hours on complex datasets.,Semantic Scholar DBLP identifier,Clustering Learning for Robotic Vision,100.0,,c51e81faa497455de5fdcc839b049d04177becff,abstract_found,,82
ICLR,pre_gpt,2013,Complexity of Representation and Inference in Compositional Models with Part Sharing,,journals/corr/abs-1301-3560,DBLP,complexity of representation and inference in compositional models with part sharing,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2013,Cutting Recursive Autoencoder Trees,,journals/corr/abs-1301-2811,DBLP,cutting recursive autoencoder trees,"Deep Learning models enjoy considerable success in Natural Language Processing. While deep architectures produce useful representations that lead to improvements in various tasks, they are often difficult to interpret. This makes the analysis of learned structures particularly difficult. In this paper, we rely on empirical tests to see whether a particular structure makes sense. We present an analysis of the Semi-Supervised Recursive Autoencoder, a well-known model that produces structural representations of text. We show that for certain tasks, the structure of the autoencoder can be significantly reduced without loss of classification accuracy and we evaluate the produced structures using human judgment.",Semantic Scholar DBLP identifier,Cutting Recursive Autoencoder Trees,100.0,,682b3dc0f4c46f96aa28358203c5013649e8dc62,abstract_found,,101
ICLR,pre_gpt,2013,Deep Learning for Detecting Robotic Grasps,,journals/corr/abs-1301-3592,DBLP,deep learning for detecting robotic grasps,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2013,Deep Predictive Coding Networks,,journals/corr/abs-1301-3541,DBLP,deep predictive coding networks,"The quality of data representation in deep learning methods is directly related to the prior model imposed on the representations; however, generally used fixed priors are not capable of adjusting to the context in the data. To address this issue, we propose deep predictive coding networks, a hierarchical generative model that empirically alters priors on the latent representations in a dynamic and context-sensitive manner. This model captures the temporal dependencies in time-varying signals and uses top-down information to modulate the representation in lower layers. The centerpiece of our model is a novel procedure to infer sparse states of a dynamic model which is used for feature extraction. We also extend this feature extraction block to introduce a pooling function that captures locally invariant representations. When applied on a natural video data, we show that our method is able to learn high-level visual features. We also demonstrate the role of the top-down connections by showing the robustness of the proposed model to structured noise.",Semantic Scholar DBLP identifier,Deep Predictive Coding Networks,100.0,,1da7db8376f5f16bd96a5d35cb8eba2ce3bb2a67,abstract_found,,163
ICLR,pre_gpt,2013,Discrete Restricted Boltzmann Machines,,journals/corr/abs-1301-3529,DBLP,discrete restricted boltzmann machines,,,,,,,no_abstract_found,,0
ICLR,pre_gpt,2013,Discriminative Recurrent Sparse Auto-Encoders,,journals/corr/abs-1301-3775,DBLP,discriminative recurrent sparse auto encoders,"We present the discriminative recurrent sparse auto-encoder model, comprising a recurrent encoder of rectified linear units, unrolled for a fixed number of iterations, and connected to two linear decoders that reconstruct the input and predict its supervised classification. Training via backpropagation-through-time initially minimizes an unsupervised sparse reconstruction error; the loss function is then augmented with a discriminative term on the supervised classification. The depth implicit in the temporally-unrolled form allows the system to exhibit all the power of deep networks, while substantially reducing the number of trainable parameters. From an initially unstructured network the hidden units differentiate into categorical-units, each of which represents an input prototype with a well-defined class; and part-units representing deformations of these prototypes. The learned organization of the recurrent encoder is hierarchical: part-units are driven directly by the input, whereas the activity of categorical-units builds up over time through interactions with the part-units. Even using a small number of hidden units per layer, discriminative recurrent sparse auto-encoders achieve excellent performance on MNIST.",Semantic Scholar DBLP identifier,Discriminative Recurrent Sparse Auto-Encoders,100.0,,72c35d7eb807ed46fb82024922ffbf45218f5a95,abstract_found,,166
ICLR,pre_gpt,2013,Efficient Estimation of Word Representations in Vector Space,,journals/corr/abs-1301-3781,DBLP,efficient estimation of word representations in vector space,"We propose two novel model architectures for computing continuous vector representations of words from very large data sets. The quality of these representations is measured in a word similarity task, and the results are compared to the previously best performing techniques based on different types of neural networks. We observe large improvements in accuracy at much lower computational cost, i.e. it takes less than a day to learn high quality word vectors from a 1.6 billion words data set. Furthermore, we show that these vectors provide state-of-the-art performance on our test set for measuring syntactic and semantic word similarities.",Semantic Scholar DBLP identifier,Efficient Estimation of Word Representations in Vector Space,100.0,,f6b51c8753a871dc94ff32152c00c01e94f90f09,abstract_found,,99
ICLR,pre_gpt,2013,Efficient Learning of Domain-invariant Image Representations,,journals/corr/abs-1301-3224,DBLP,efficient learning of domain invariant image representations,"Abstract: We present an algorithm that learns representations which explicitly compensate for domain mismatch and which can be efficiently realized as linear classifiers. Specifically, we form a linear transformation that maps features from the target (test) domain to the source (training) domain as part of training the classifier. We optimize both the transformation and classifier parameters jointly, and introduce an efficient cost function based on misclassification loss. Our method combines several features previously unavailable in a single algorithm: multi-class adaptation through representation learning, ability to map across heterogeneous feature spaces, and scalability to large datasets. We present experiments on several image datasets that demonstrate improved accuracy and computational advantages compared to previous approaches.",Semantic Scholar DBLP identifier,Efficient Learning of Domain-invariant Image Representations,100.0,,260aed27abfe751b3d90aad9c0805d35c359ebd5,abstract_found,,113
ICLR,pre_gpt,2013,Factorized Topic Models,,journals/corr/abs-1301-3461,DBLP,factorized topic models,"In this paper we present a modification to a latent topic model, which makes the model exploit supervision to produce a factorized representation of the observed data. The structured parameterization separately encodes variance that is shared between classes from variance that is private to each class by the introduction of a new prior over the topic space. The approach allows for a more eff{}icient inference and provides an intuitive interpretation of the data in terms of an informative signal together with structured noise. The factorized representation is shown to enhance inference performance for image, text, and video classification.",Semantic Scholar DBLP identifier,Factorized Topic Models,100.0,,8606d24da3b5bdc291c665d17fa65af8003f75ac,abstract_found,,98
