venue,era,year,title,doi,dblp_key,canonical_source,normalized_title,abstract,abstract_source,matched_title,match_score,openalex_id,semantic_scholar_id,retrieval_status,retrieval_error,token_count
NeurIPS,pre_gpt,1987,Scaling Properties of Coarse-Coded Symbol Memories,,conf/nips/RosenfeldT87,DBLP,scaling properties of coarse coded symbol memories,"Coarse-coded symbol memories have appeared in several neural network symbol processing models. In order to determine how these models would scale, one must first have some understanding of the mathematics of coarse-coded representations. We define the general structure of coarse-coded symbol memories and derive mathematical relationships among their essential parameters: memory size, symbol-set size and capacity. The computed capacity of one of the schemes agrees well with actual measurements of the coarse-coded working memory of DCPS, Touretzky and Hinton's distributed connectionist production system.",Semantic Scholar DBLP identifier,Scaling Properties of Coarse-Coded Symbol Memories,100.0,,039df264fb6ea924cdd5e259c1c7bd08b1bc1b6e,abstract_found,,83
NeurIPS,pre_gpt,1993,Neural Network Exploration Using Optimal Experiment Design,,conf/nips/Cohn93,DBLP,neural network exploration using optimal experiment design,"I consider the question ""How should one act when the only goal is to learn as much as possible?"". Building on the theoretical results of Fedorov (1972, Theory of Optimal Experiments, Academic Press) and MacKay (1992, Neural Computation, 4, 590-604), I apply techniques from optimal experiment design (OED) to guide the query/action selection of a neural network learner. I demonstrate that these techniques allow the learner to minimize its generalization error by exploring its domain efficiently and completely. I conclude that, while not a panacea, OED-based query/action selection has much to offer, especially in domains where its high computational costs can be tolerated. Copyright 1996 Elsevier Science Ltd",Semantic Scholar exact title,Neural Network Exploration Using Optimal Experiment Design,100.0,,08627b368e6b7d142cfcece74d52d21d48cc64a6,abstract_found,,108
NeurIPS,pre_gpt,1994,Active Learning with Statistical Models,,conf/nips/CohnGJ94,DBLP,active learning with statistical models,"For many types of learners one can compute the statistically ""optimal"" way to select data. We review how these techniques have been used with feedforward neural networks [MacKay, 1992; Cohn, 1994]. We then show how the same principles may be used to select data for two alternative, statistically-based learning architectures: mixtures of Gaussians and locally weighted regression. While the techniques for neural networks are expensive and approximate, the techniques for mixtures of Gaussians and locally weighted regression are both efficient and accurate.",Semantic Scholar DBLP identifier,Active Learning with Statistical Models,100.0,,1150f9289c6151506e3f7cf0e6ebbcfd49f1dace,abstract_found,,82
NeurIPS,pre_gpt,1995,Learning Model Bias,,conf/nips/Baxter95,DBLP,learning model bias,"In this paper the problem of learning appropriate domain-specific bias is addressed. It is shown that this can be achieved by learning many related tasks from the same domain, and a theorem is given bounding the number tasks that must be learnt. A corollary of the theorem is that if the tasks are known to possess a common internal representation or preprocessing then the number of examples required per task for good generalisation when learning n tasks simultaneously scales like O(a + b/n), where O(a) is a bound on the minimum number of examples requred to learn a single task, and O(a + b) is a bound on the number of examples required to learn each task independently. An experiment providing strong qualitative support for the theoretical results is reported.",Semantic Scholar exact title,Learning Model Bias,100.0,,d37250b498f66b8d43a336b54fca8b83328e4ede,abstract_found,,130
NeurIPS,pre_gpt,1996,Minimizing Statistical Bias with Queries,,conf/nips/Cohn96,DBLP,minimizing statistical bias with queries,"I describe an exploration criterion that attempts to minimize the error of a learner by minimizing its estimated squared bias. I describe experiments with locally-weighted regression on two simple kinematics problems, and observe that this ""bias-only"" approach outperforms the more common ""variance-only"" exploration approach, even in the presence of noise.",Semantic Scholar DBLP identifier,Minimizing Statistical Bias with Queries,100.0,,a58fbbab5c1f8115cd63d71bfbd66c981831f384,abstract_found,,50
NeurIPS,pre_gpt,1996,On-line Policy Improvement using Monte-Carlo Search,,conf/nips/TesauroG96,DBLP,on line policy improvement using monte carlo search,"We present a Monte-Carlo simulation algorithm for real-time policy improvement of an adaptive controller. In the Monte-Carlo simulation, the long-term expected reward of each possible action is statistically measured, using the initial policy to make decisions in each step of the simulation. The action maximizing the measured expected reward is then taken, resulting in an improved policy. Our algorithm is easily parallelizable and has been implemented on the IBM SP1 and SP2 parallel-RISC supercomputers. We have obtained promising initial results in applying this algorithm to the domain of backgammon. Results are reported for a wide variety of initial policies, ranging from a random policy to TD-Gammon, an extremely strong multi-layer neural network. In each case, the Monte-Carlo algorithm gives a substantial reduction, by as much as a factor of 5 or more, in the error rate of the base players. The algorithm is also potentially useful in many other adaptive control applications in which it is possible to simulate the environment.",Semantic Scholar DBLP identifier,On-line Policy Improvement using Monte-Carlo Search,100.0,,3552fba431aa866bf9de293bebf7eff168e9e19c,abstract_found,,161
NeurIPS,pre_gpt,1997,Learning to Order Things,,conf/nips/CohenSS97,DBLP,learning to order things,"There are many applications in which it is desirable to order rather than classify instances. Here we consider the problem of learning how to order instances given feedback in the form of preference judgments, i.e., statements to the effect that one instance should be ranked ahead of another. We outline a two-stage approach in which one first learns by conventional means a binary preference function indicating whether it is advisable to rank one instance before another. Here we consider an on-line algorithm for learning preference functions that is based on Freund and Schapire's ""Hedge"" algorithm. In the second stage, new instances are ordered so as to maximize agreement with the learned preference function. We show that the problem of finding the ordering that agrees best with a learned preference function is NP-complete. Nevertheless, we describe simple greedy algorithms that are guaranteed to find a good approximation. Finally, we show how metasearch can be formulated as an ordering problem, and present experimental results on learning a combination of ""search experts,"" each of which is a domain-specific query expansion strategy for a web search engine.",Semantic Scholar exact title,Learning to Order Things,100.0,,0025b963134b1c0b64c1389af19610d038ab7072,abstract_found,,183
NeurIPS,pre_gpt,1997,Synaptic Transmission: An Information-Theoretic Perspective,,conf/nips/ManwaniK97,DBLP,synaptic transmission an information theoretic perspective,"Here we analyze synaptic transmission from an information-theoretic perspective. We derive closed-form expressions for the lower-bounds on the capacity of a simple model of a cortical synapse under two explicit coding paradigms. Under the ""signal estimation"" paradigm, we assume the signal to be encoded in the mean firing rate of a Poisson neuron. The performance of an optimal linear estimator of the signal then provides a lower bound on the capacity for signal estimation. Under the ""signal detection"" paradigm, the presence or absence of the signal has to be detected. Performance of the optimal spike detector allows us to compute a lower bound on the capacity for signal detection. We find that single synapses (for empirically measured parameter values) transmit information poorly but significant improvement can be achieved with a small amount of redundancy.",Semantic Scholar DBLP identifier,Synaptic Transmission: An Information-Theoretic Perspective,100.0,,016f26bca539f790797e649ba7b8ef39e7d5640c,abstract_found,,134
NeurIPS,pre_gpt,1997,The Storage Capacity of a Fully-Connected Committee Machine,,conf/nips/XiongKO97,DBLP,the storage capacity of a fully connected committee machine,"We study the storage capacity of a fully-connected committee machine with a large number K of hidden nodes. The storage capacity is obtained by analyzing the geometrical structure of the weight space related to the internal representation. By examining the asymptotic behavior of order parameters in the limit of large K, the storage capacity αc is found to be proportional to K√ln K up to the leading order. This result satisfies the mathematical bound given by Mitchison and Durbin, whereas the replica-symmetric solution in a conventional Gardner's approach violates this bound.",Semantic Scholar DBLP identifier,The Storage Capacity of a Fully-Connected Committee Machine,100.0,,533a7a2cb68da1a5f19205fa744d69f91376b7f9,abstract_found,,91
NeurIPS,pre_gpt,1998,Dynamics of Supervised Learning with Restricted Training Sets,,conf/nips/CoolenS98,DBLP,dynamics of supervised learning with restricted training sets,"We study the dynamics of supervised learning in layered neural networks, in the regime where the size p of the training set is proportional to the number N of inputs. Here the local fields are no longer described by Gaussian distributions. We use dynamical replica theory to predict the evolution of macroscopic observables, including the relevant error measures, incorporating the old formalism in the limit piN → ∞.",Semantic Scholar DBLP identifier,Dynamics of Supervised Learning with Restricted Training Sets,100.0,,91ca62a8025608936e3f752a2d9e914a85028c83,abstract_found,,68
