venue,era,year,title,doi,dblp_key,canonical_source
AAAI,post_gpt,2023,"""How Can I Code A.I. Responsibly?"": The Effect of Computational Action on K-12 Students Learning and Creating Socially Responsible A.I",10.1609/aaai.v37i13.26902,conf/aaai/PangPBA23,DBLP
AAAI,post_gpt,2023,"""Nothing Abnormal"": Disambiguating Medical Reports via Contrastive Knowledge Infusion",10.1609/aaai.v37i12.26665,conf/aaai/HeYGMH23,DBLP
AAAI,post_gpt,2023,3D Assembly Completion,10.1609/aaai.v37i3.25365,conf/aaai/WangZYZH23,DBLP
AAAI,post_gpt,2023,3D Human Pose Lifting with Grid Convolution,10.1609/aaai.v37i1.25192,conf/aaai/KangLYWW23,DBLP
AAAI,post_gpt,2023,3D-TOGO: Towards Text-Guided Cross-Category 3D Object Generation,10.1609/aaai.v37i1.25186,conf/aaai/JiangLLZZCX23,DBLP
AAAI,post_gpt,2023,A Benchmark and Asymmetrical-Similarity Learning for Practical Image Copy Detection,10.1609/aaai.v37i3.25366,conf/aaai/WangS023,DBLP
AAAI,post_gpt,2023,A Composite Multi-Attention Framework for Intraoperative Hypotension Early Warning,10.1609/aaai.v37i12.26681,conf/aaai/00030ZSSZRL0LZ23,DBLP
AAAI,post_gpt,2023,A Continual Pre-training Approach to Tele-Triaging Pregnant Women in Kenya,10.1609/aaai.v37i12.26709,conf/aaai/0008GRPRDGY23,DBLP
AAAI,post_gpt,2023,A Coreset Learning Reality Check,10.1609/aaai.v37i7.26074,conf/aaai/LuRH23,DBLP
AAAI,post_gpt,2023,A Crowd-AI Collaborative Duo Relational Graph Learning Framework towards Social Impact Aware Photo Classification,10.1609/aaai.v37i12.26711,conf/aaai/ZhangKSZYW23,DBLP
AAAI,post_gpt,2023,A Data Source for Reasoning Embodied Agents,10.1609/aaai.v37i7.26017,conf/aaai/LanchantinSSSSS23,DBLP
AAAI,post_gpt,2023,A Dataset and Baseline Approach for Identifying Usage States from Non-intrusive Power Sensing with MiDAS IoT-Based Sensors,10.1609/aaai.v37i13.26843,conf/aaai/MuppasaniAASJ23,DBLP
AAAI,post_gpt,2023,A Dataset for Learning University STEM Courses at Scale and Generating Questions at a Human Level,10.1609/aaai.v37i13.27091,conf/aaai/DroriZCSLCBHLTH23,DBLP
AAAI,post_gpt,2023,A Disentangled-Attention Based Framework with Persona-Aware Prompt Learning for Dialogue Generation,10.1609/aaai.v37i11.26556,conf/aaai/LiuHZWMLP023,DBLP
AAAI,post_gpt,2023,A Domain-Knowledge-Inspired Music Embedding Space and a Novel Attention Mechanism for Symbolic Music Modeling,10.1609/aaai.v37i4.25635,conf/aaai/GuoKH23,DBLP
AAAI,post_gpt,2023,A Domain-Transfer Meta Task Design Paradigm for Few-Shot Slot Tagging,10.1609/aaai.v37i11.26626,conf/aaai/YangZY00A23,DBLP
AAAI,post_gpt,2023,A Dynamics and Task Decoupled Reinforcement Learning Architecture for High-Efficiency Dynamic Target Intercept,10.1609/aaai.v37i10.26421,conf/aaai/Liu00YNL23,DBLP
AAAI,post_gpt,2023,A Fair Generative Model Using LeCam Divergence,10.1609/aaai.v37i8.26196,conf/aaai/UmS23,DBLP
AAAI,post_gpt,2023,A Fair Incentive Scheme for Community Health Workers,10.1609/aaai.v37i12.26653,conf/aaai/BoseLSM23,DBLP
AAAI,post_gpt,2023,A Faster Practical Approximation Scheme for the Permanent,10.1609/aaai.v37i10.26440,conf/aaai/HarviainenK23,DBLP
AAAI,post_gpt,2023,A Federated Learning Monitoring Tool for Self-Driving Car Simulation (Student Abstract),10.1609/aaai.v37i13.26984,conf/aaai/LeeM023,DBLP
AAAI,post_gpt,2023,A Formal Metareasoning Model of Concurrent Planning and Execution,10.1609/aaai.v37i10.26464,conf/aaai/ElboherBKRSS23,DBLP
AAAI,post_gpt,2023,A Framework to Design Approximation Algorithms for Finding Diverse Solutions in Combinatorial Problems,10.1609/aaai.v37i4.25511,conf/aaai/HanakaK0KKO23,DBLP
AAAI,post_gpt,2023,A Generalized Scalarization Method for Evolutionary Multi-Objective Optimization,10.1609/aaai.v37i10.26474,conf/aaai/ZhengW23,DBLP
AAAI,post_gpt,2023,A Generalized Unbiased Risk Estimator for Learning with Augmented Classes,10.1609/aaai.v37i8.26173,conf/aaai/ShuHWWX023,DBLP
AAAI,post_gpt,2023,A Generative Approach for Script Event Prediction via Contrastive Fine-Tuning,10.1609/aaai.v37i11.26645,conf/aaai/ZhuGY0XM0X23,DBLP
AAAI,post_gpt,2023,A Gift from Label Smoothing: Robust Training with Adaptive Label Smoothing via Auxiliary Classifier under Label Noise,10.1609/aaai.v37i7.26004,conf/aaai/KoYY23,DBLP
AAAI,post_gpt,2023,A Graph Fusion Approach for Cross-Lingual Machine Reading Comprehension,10.1609/aaai.v37i11.26623,conf/aaai/XuSPGSQJ23,DBLP
AAAI,post_gpt,2023,A Highly Efficient Marine Mammals Classifier Based on a Cross-Covariance Attended Compact Feed-Forward Sequential Memory Network (Student Abstract),10.1609/aaai.v37i13.26994,conf/aaai/LiuC23,DBLP
AAAI,post_gpt,2023,A Holistic Approach to Undesired Content Detection in the Real World,10.1609/aaai.v37i12.26752,conf/aaai/MarkovZANLAJW23,DBLP
AAAI,post_gpt,2023,A Latent-Variable Model for Intrinsic Probing,10.1609/aaai.v37i11.26593,conf/aaai/StanczakHWCA23,DBLP
AAAI,post_gpt,2023,A Learnable Radial Basis Positional Embedding for Coordinate-MLPs,10.1609/aaai.v37i2.25307,conf/aaai/RamasingheL23,DBLP
AAAI,post_gpt,2023,"A Machine with Short-Term, Episodic, and Semantic Memory Systems",10.1609/aaai.v37i1.25075,conf/aaai/0002CFNV23,DBLP
AAAI,post_gpt,2023,A Model-Agnostic Heuristics for Selective Classification,10.1609/aaai.v37i8.26133,conf/aaai/PugnanaR23,DBLP
AAAI,post_gpt,2023,A Multi-User Virtual World with Music Recommendations and Mood-Based Virtual Effects,10.1609/aaai.v37i13.26908,conf/aaai/BurchSE23,DBLP
AAAI,post_gpt,2023,A Mutually Enhanced Bidirectional Approach for Jointly Mining User Demand and Sentiment (Student Abstract),10.1609/aaai.v37i13.26999,conf/aaai/MaoQYL23,DBLP
AAAI,post_gpt,2023,A Neural Span-Based Continual Named Entity Recognition Model,10.1609/aaai.v37i11.26638,conf/aaai/ZhangC23,DBLP
AAAI,post_gpt,2023,A New Challenge in Policy Evaluation,10.1609/aaai.v37i13.26832,conf/aaai/Zhang23c,DBLP
AAAI,post_gpt,2023,A Noise-Tolerant Differentiable Learning Approach for Single Occurrence Regular Expression with Interleaving,10.1609/aaai.v37i4.25606,conf/aaai/YeZWDLL23,DBLP
AAAI,post_gpt,2023,A Pair-Approximation Method for Modelling the Dynamics of Multi-Agent Stochastic Games,10.1609/aaai.v37i5.25691,conf/aaai/ChuYHM023,DBLP
AAAI,post_gpt,2023,A Parameterized Theory of PAC Learning,10.1609/aaai.v37i6.25837,conf/aaai/BrandGS23,DBLP
AAAI,post_gpt,2023,A Probabilistic Graph Diffusion Model for Source Localization (Student Abstract),10.1609/aaai.v37i13.27013,conf/aaai/QianXXZ023,DBLP
AAAI,post_gpt,2023,A Proof That Using Crossover Can Guarantee Exponential Speed-Ups in Evolutionary Multi-Objective Optimisation,10.1609/aaai.v37i10.26460,conf/aaai/DangOSS23,DBLP
AAAI,post_gpt,2023,A Provable Framework of Learning Graph Embeddings via Summarization,10.1609/aaai.v37i4.25621,conf/aaai/0002LKSC23,DBLP
AAAI,post_gpt,2023,A Question-Answering Approach to Key Value Pair Extraction from Form-Like Document Images,10.1609/aaai.v37i11.26516,conf/aaai/HuWZL0H23,DBLP
AAAI,post_gpt,2023,A Reinforcement Learning Badminton Environment for Simulating Player Tactics (Student Abstract),10.1609/aaai.v37i13.26976,conf/aaai/HuangHCWWP23,DBLP
AAAI,post_gpt,2023,A Risk-Sensitive Approach to Policy Optimization,10.1609/aaai.v37i12.26753,conf/aaai/MarkowitzGLAW23,DBLP
AAAI,post_gpt,2023,A Robust and Scalable Stacked Ensemble for Day-Ahead Forecasting of Distribution Network Losses,10.1609/aaai.v37i13.26838,conf/aaai/GrotmolFDORMSG23,DBLP
AAAI,post_gpt,2023,A Scope Sensitive and Result Attentive Model for Multi-Intent Spoken Language Understanding,10.1609/aaai.v37i11.26493,conf/aaai/ChengY023,DBLP
AAAI,post_gpt,2023,A Semi-parametric Model for Decision Making in High-Dimensional Sensory Discrimination Tasks,10.1609/aaai.v37i1.25074,conf/aaai/KeeleyLSTS23,DBLP
AAAI,post_gpt,2023,A Semidefinite Relaxation Based Branch-and-Bound Method for Tight Neural Network Verification,10.1609/aaai.v37i12.26745,conf/aaai/LanBL23,DBLP
AAAI,post_gpt,2023,A Set of Control Points Conditioned Pedestrian Trajectory Prediction,10.1609/aaai.v37i5.25759,conf/aaai/BaeJ23,DBLP
AAAI,post_gpt,2023,A Simple Baseline for Multi-Camera 3D Object Detection,10.1609/aaai.v37i3.25460,conf/aaai/ZhangZZHL023,DBLP
AAAI,post_gpt,2023,A Simple Unified Approach to Testing High-Dimensional Conditional Independences for Categorical and Ordinal Data,10.1609/aaai.v37i10.26436,conf/aaai/AnkanT23,DBLP
AAAI,post_gpt,2023,A Simple Yet Effective Subsequence-Enhanced Approach for Cross-Domain NER,10.1609/aaai.v37i11.26515,conf/aaai/HuGLLCWC23,DBLP
AAAI,post_gpt,2023,A Speaker Turn-Aware Multi-Task Adversarial Network for Joint User Satisfaction Estimation and Sentiment Analysis,10.1609/aaai.v37i11.26592,conf/aaai/SongK0LSL23,DBLP
AAAI,post_gpt,2023,A Structural Complexity Analysis of Synchronous Dynamical Systems,10.1609/aaai.v37i5.25777,conf/aaai/EibenGHK23,DBLP
