venue,era,year,title,doi,dblp_key,canonical_source,normalized_title,abstract,abstract_source,matched_title,match_score,openalex_id,semantic_scholar_id,retrieval_status,retrieval_error,token_count
ICLR,post_gpt,2023,$\Lambda$-DARTS: Mitigating Performance Collapse by Harmonizing Operation Selection among Cells,,conf/iclr/MovahediAIK0SA23,DBLP,lambda darts mitigating performance collapse by harmonizing operation selection among cells,,,,,,,no_abstract_found,,0
ICLR,post_gpt,2023,(Certified!!) Adversarial Robustness for Free!,,conf/iclr/CarliniTDRSK23,DBLP,certified adversarial robustness for free,,,,,,,no_abstract_found,,0
ICLR,post_gpt,2023,3D Segmenter: 3D Transformer based Semantic Segmentation via 2D Panoramic Distillation,,conf/iclr/WuLH0HS23,DBLP,3d segmenter 3d transformer based semantic segmentation via 2d panoramic distillation,,,,,,,no_abstract_found,,0
ICLR,post_gpt,2023,3D UX-Net: A Large Kernel Volumetric ConvNet Modernizing Hierarchical Transformer for Medical Image Segmentation,,conf/iclr/LeeBHL23,DBLP,3d ux net a large kernel volumetric convnet modernizing hierarchical transformer for medical image segmentation,,,,,,,no_abstract_found,,0
ICLR,post_gpt,2023,A Brief History of the Speculative Measures for Autonomy,,conf/iclr/Tewers23,DBLP,a brief history of the speculative measures for autonomy,,,,,,,no_abstract_found,,0
ICLR,post_gpt,2023,A Call to Reflect on Evaluation Practices for Failure Detection in Image Classification,,conf/iclr/JaegerLKB23,DBLP,a call to reflect on evaluation practices for failure detection in image classification,,,,,,,no_abstract_found,,0
ICLR,post_gpt,2023,A Change of Heart: Improving Speech Emotion Recognition through Speech-to-Text Modality Conversion,,conf/iclr/TaghaviSS23,DBLP,a change of heart improving speech emotion recognition through speech to text modality conversion,,,,,,,no_abstract_found,,0
ICLR,post_gpt,2023,A Dynamic Prompt-tuning Method for Data Augmentation with Associated Knowledge,,conf/iclr/QiBPLW23,DBLP,a dynamic prompt tuning method for data augmentation with associated knowledge,,,,,,,no_abstract_found,,0
ICLR,post_gpt,2023,A General Framework For Proving The Equivariant Strong Lottery Ticket Hypothesis,,conf/iclr/FerbachTGB23,DBLP,a general framework for proving the equivariant strong lottery ticket hypothesis,,,,,,,no_abstract_found,,0
ICLR,post_gpt,2023,A General Framework for Sample-Efficient Function Approximation in Reinforcement Learning,,conf/iclr/ChenLYGJ23,DBLP,a general framework for sample efficient function approximation in reinforcement learning,,,,,,,no_abstract_found,,0
ICLR,post_gpt,2023,A General Rank Preserving Framework for Asymmetric Image Retrieval,,conf/iclr/Wu0ZL23,DBLP,a general rank preserving framework for asymmetric image retrieval,,,,,,,no_abstract_found,,0
ICLR,post_gpt,2023,A Graph Neural Network Approach to Automated Model Building in Cryo-EM Maps,,conf/iclr/JamaliKS23,DBLP,a graph neural network approach to automated model building in cryo em maps,,,,,,,no_abstract_found,,0
ICLR,post_gpt,2023,A Higher Precision Algorithm for Computing the $1$-Wasserstein Distance,,conf/iclr/AgarwalRSS23,DBLP,a higher precision algorithm for computing the 1 wasserstein distance,,,,,,,no_abstract_found,,0
ICLR,post_gpt,2023,A Holistic View of Label Noise Transition Matrix in Deep Learning and Beyond,,conf/iclr/LinPZXGZL023,DBLP,a holistic view of label noise transition matrix in deep learning and beyond,,,,,,,no_abstract_found,,0
ICLR,post_gpt,2023,A Kernel Perspective of Skip Connections in Convolutional Networks,,conf/iclr/BarzilaiGGB23,DBLP,a kernel perspective of skip connections in convolutional networks,,,,,,,no_abstract_found,,0
ICLR,post_gpt,2023,A Learning Based Hypothesis Test for Harmful Covariate Shift,,conf/iclr/GinsbergLK23,DBLP,a learning based hypothesis test for harmful covariate shift,,,,,,,no_abstract_found,,0
ICLR,post_gpt,2023,A Light Spectrometer Device for Crop Disease Monitoring,,conf/iclr/DhikusookaNMO23,DBLP,a light spectrometer device for crop disease monitoring,,,,,,,no_abstract_found,,0
ICLR,post_gpt,2023,"A Minimalist Dataset for Systematic Generalization of Perception, Syntax, and Semantics",,conf/iclr/0003HHZWZ23,DBLP,a minimalist dataset for systematic generalization of perception syntax and semantics,,,,,,,no_abstract_found,,0
ICLR,post_gpt,2023,A Mixture-of-Expert Approach to RL-based Dialogue Management,,conf/iclr/ChowTNGRGB23,DBLP,a mixture of expert approach to rl based dialogue management,,,,,,,no_abstract_found,,0
ICLR,post_gpt,2023,A Model or 603 Exemplars: Towards Memory-Efficient Class-Incremental Learning,,conf/iclr/0001WYZ23,DBLP,a model or 603 exemplars towards memory efficient class incremental learning,,,,,,,no_abstract_found,,0
ICLR,post_gpt,2023,A Neural Mean Embedding Approach for Back-door and Front-door Adjustment,,conf/iclr/XuG23,DBLP,a neural mean embedding approach for back door and front door adjustment,,,,,,,no_abstract_found,,0
ICLR,post_gpt,2023,A Non-Asymptotic Analysis of Oversmoothing in Graph Neural Networks,,conf/iclr/WuCWJ23,DBLP,a non asymptotic analysis of oversmoothing in graph neural networks,,,,,,,no_abstract_found,,0
ICLR,post_gpt,2023,A Non-monotonic Self-terminating Language Model,,conf/iclr/ChoiCL23,DBLP,a non monotonic self terminating language model,,,,,,,no_abstract_found,,0
ICLR,post_gpt,2023,A Rate-Distortion View on Model Updates,,conf/iclr/MitchellBCK23,DBLP,a rate distortion view on model updates,,,,,,,no_abstract_found,,0
ICLR,post_gpt,2023,A Scalable Self-supervised Learner for Hyperspectral Image Classification,,conf/iclr/KongQLP23,DBLP,a scalable self supervised learner for hyperspectral image classification,,,,,,,no_abstract_found,,0
ICLR,post_gpt,2023,A Self-Attention Ansatz for Ab-initio Quantum Chemistry,,conf/iclr/GlehnSP23,DBLP,a self attention ansatz for ab initio quantum chemistry,,,,,,,no_abstract_found,,0
ICLR,post_gpt,2023,A Simple Approach for Visual Room Rearrangement: 3D Mapping and Semantic Search,,conf/iclr/TrabuccoSPSS23,DBLP,a simple approach for visual room rearrangement 3d mapping and semantic search,,,,,,,no_abstract_found,,0
ICLR,post_gpt,2023,A Simple Loss Function for Convergent Algorithm Synthesis using RNNs,,conf/iclr/SalleM23,DBLP,a simple loss function for convergent algorithm synthesis using rnns,,,,,,,no_abstract_found,,0
ICLR,post_gpt,2023,A Simple Yet Powerful Deep Active Learning With Snapshots Ensembles,,conf/iclr/JungKL23,DBLP,a simple yet powerful deep active learning with snapshots ensembles,,,,,,,no_abstract_found,,0
ICLR,post_gpt,2023,"A Simple, Fast Algorithm for Continual Learning from High-Dimensional Data",,conf/iclr/AshtekarH23,DBLP,a simple fast algorithm for continual learning from high dimensional data,,,,,,,no_abstract_found,,0
ICLR,post_gpt,2023,"A Statistical Framework for Personalized Federated Learning and Estimation: Theory, Algorithms, and Privacy",,conf/iclr/OzkaraGDD23,DBLP,a statistical framework for personalized federated learning and estimation theory algorithms and privacy,,,,,,,no_abstract_found,,0
ICLR,post_gpt,2023,A Study on Sample Diversity in Generative Models: GANs vs. Diffusion Models,,conf/iclr/Bayat23,DBLP,a study on sample diversity in generative models gans vs diffusion models,,,,,,,no_abstract_found,,0
ICLR,post_gpt,2023,A System for Morphology-Task Generalization via Unified Representation and Behavior Distillation,,conf/iclr/FurutaIMG23,DBLP,a system for morphology task generalization via unified representation and behavior distillation,,,,,,,no_abstract_found,,0
ICLR,post_gpt,2023,A Theoretical Framework for Inference and Learning in Predictive Coding Networks,,conf/iclr/Millidge0SLB23a,DBLP,a theoretical framework for inference and learning in predictive coding networks,,,,,,,no_abstract_found,,0
ICLR,post_gpt,2023,A Theory of Dynamic Benchmarks,,conf/iclr/ShiraliAH23,DBLP,a theory of dynamic benchmarks,,,,,,,no_abstract_found,,0
ICLR,post_gpt,2023,A Time Series is Worth 64 Words: Long-term Forecasting with Transformers,,conf/iclr/NieNSK23,DBLP,a time series is worth 64 words long term forecasting with transformers,,,,,,,no_abstract_found,,0
ICLR,post_gpt,2023,"A Unified Approach to Reinforcement Learning, Quantal Response Equilibria, and Two-Player Zero-Sum Games",,conf/iclr/SokotaDKLLMBK23,DBLP,a unified approach to reinforcement learning quantal response equilibria and two player zero sum games,,,,,,,no_abstract_found,,0
ICLR,post_gpt,2023,A VAE for Transformers with Nonparametric Variational Information Bottleneck,,conf/iclr/HendersonF23,DBLP,a vae for transformers with nonparametric variational information bottleneck,,,,,,,no_abstract_found,,0
ICLR,post_gpt,2023,A Variational Condition for Minimal-Residual Latent Representations,,conf/iclr/Bentivegna23,DBLP,a variational condition for minimal residual latent representations,,,,,,,no_abstract_found,,0
ICLR,post_gpt,2023,"A law of adversarial risk, interpolation, and label noise",,conf/iclr/PalekaS23,DBLP,a law of adversarial risk interpolation and label noise,,,,,,,no_abstract_found,,0
ICLR,post_gpt,2023,A new characterization of the edge of stability based on a sharpness measure aware of batch gradient distribution,,conf/iclr/LeeJ23,DBLP,a new characterization of the edge of stability based on a sharpness measure aware of batch gradient distribution,,,,,,,no_abstract_found,,0
ICLR,post_gpt,2023,A probabilistic framework for task-aligned intra- and inter-area neural manifold estimation,,conf/iclr/BalzaniNHAS23,DBLP,a probabilistic framework for task aligned intra and inter area neural manifold estimation,,,,,,,no_abstract_found,,0
ICLR,post_gpt,2023,A theoretical study of inductive biases in contrastive learning,,conf/iclr/HaoChen023,DBLP,a theoretical study of inductive biases in contrastive learning,,,,,,,no_abstract_found,,0
ICLR,post_gpt,2023,A two-parameter learnable Logmoid Activation Unit,,conf/iclr/ZhouLZL23,DBLP,a two parameter learnable logmoid activation unit,,,,,,,no_abstract_found,,0
ICLR,post_gpt,2023,"A view of mini-batch SGD via generating functions: conditions of convergence, phase transitions, benefit from negative momenta",,conf/iclr/VelikanovKY23,DBLP,a view of mini batch sgd via generating functions conditions of convergence phase transitions benefit from negative momenta,,,,,,,no_abstract_found,,0
ICLR,post_gpt,2023,AANG : Automating Auxiliary Learning,,conf/iclr/DeryMKNT23,DBLP,aang automating auxiliary learning,,,,,,,no_abstract_found,,0
ICLR,post_gpt,2023,ACMP: Allen-Cahn Message Passing with Attractive and Repulsive Forces for Graph Neural Networks,,conf/iclr/WangYLWJ23,DBLP,acmp allen cahn message passing with attractive and repulsive forces for graph neural networks,,,,,,,no_abstract_found,,0
