venue,era,year,title,doi,dblp_key,canonical_source
AAAI,pre_gpt,1980,A Basis for a Theory of Program Synthesis,,conf/aaai/Subrahmanyam80,DBLP
AAAI,pre_gpt,1980,A Computer Model of Child Language Learning,,conf/aaai/Selfridge80,DBLP
AAAI,pre_gpt,1980,A Frame-Based Production System Architecture,,conf/aaai/SmithC80,DBLP
AAAI,pre_gpt,1980,A Knowledge Based Design System for Digital Electronics,,conf/aaai/Grinberg80,DBLP
AAAI,pre_gpt,1980,A Planner for Reasoning about Knowledge and Action,,conf/aaai/Appelt80,DBLP
AAAI,pre_gpt,1980,A Process for Evaluating Tree-Consistency,,conf/aaai/Goodson80,DBLP
AAAI,pre_gpt,1980,A Program Model and Knowledge Base for Computer Aided Program Synthesis,,conf/aaai/Wood80,DBLP
AAAI,pre_gpt,1980,A Representation Language Language,,conf/aaai/GreinerL80,DBLP
AAAI,pre_gpt,1980,A Statistical Technique for Recovering Surface Orientation from Texture in Natural Imagery,,conf/aaai/Witkin80,DBLP
AAAI,pre_gpt,1980,A Technique for Establishing Completeness Results in Theorem Proving with Equality,,conf/aaai/Peterson80,DBLP
AAAI,pre_gpt,1980,A Theory of Metric Spatial Inference,,conf/aaai/McDermott80,DBLP
AAAI,pre_gpt,1980,A Word-Finding Algorithm with a Dynamic Lexical-Semantic Memory for Patients with Anomia Using a Speech Prosthesis,,conf/aaai/ColbyCGP80,DBLP
AAAI,pre_gpt,1980,An Application of the Prospector System to DOE's National Uranium Resource Evaluation,,conf/aaai/Gaschnig80,DBLP
AAAI,pre_gpt,1980,An Approach to Acquiring and Applying Knowledge,,conf/aaai/HaasH80,DBLP
AAAI,pre_gpt,1980,An Efficient Relevance Criterion for Mechanical Theorem Proving,,conf/aaai/Plaisted80,DBLP
AAAI,pre_gpt,1980,An Optimisation Approach for Using Contextual Information in Conputer Vision,,conf/aaai/Faugeras80,DBLP
AAAI,pre_gpt,1980,Applying General Induction Methods to the Card Game Eleusis,,conf/aaai/Dietterich80,DBLP
AAAI,pre_gpt,1980,Approaches to Knowledge Acquisition: The Instructable Production System Project,,conf/aaai/Rychener80,DBLP
AAAI,pre_gpt,1980,Automated Inspection Using Gray-Scale Statistics,,conf/aaai/Barnard80,DBLP
AAAI,pre_gpt,1980,Automatic Generation of Semantic Attachments in FOL,,conf/aaai/Aiello80,DBLP
AAAI,pre_gpt,1980,Automatic Goal-Directed Program Transformation,,conf/aaai/Fickas80,DBLP
AAAI,pre_gpt,1980,Bootstrap Stereo,,conf/aaai/Hannah80,DBLP
AAAI,pre_gpt,1980,Computer Interpretation of Human Stick Figures,,conf/aaai/Herman80,DBLP
AAAI,pre_gpt,1980,Constraint-Based Inference from Image Motion,,conf/aaai/Lawton80,DBLP
AAAI,pre_gpt,1980,DELTA-MIN: A Search-Control Method for Information-Gathering Problems,,conf/aaai/Carbonell80,DBLP
AAAI,pre_gpt,1980,Descriptions for a Programming Environment,,conf/aaai/GoldsteinB80,DBLP
AAAI,pre_gpt,1980,Design Sketch for a Million-Element NETL Machine,,conf/aaai/Fahlman80,DBLP
AAAI,pre_gpt,1980,Everything You Always Wanted to Know About Authority Structures But Were Unable to Represent,,conf/aaai/Meehan80,DBLP
AAAI,pre_gpt,1980,Exploiting a Domain Model in an Expert Spectral Analysis Program,,conf/aaai/Barstow80,DBLP
AAAI,pre_gpt,1980,Failures in Natural Language Systems: Applications to Data Base Query Systems,,conf/aaai/Mays80,DBLP
AAAI,pre_gpt,1980,First Experiments with Rue Automated Deduction,,conf/aaai/Digricoli80,DBLP
AAAI,pre_gpt,1980,Generating Relevant Explanations: Natural Language Responses to Questions about Database Structure,,conf/aaai/McKeown80,DBLP
AAAI,pre_gpt,1980,HCPRVR: An Interpreter for Logic Programs,,conf/aaai/Chester80,DBLP
AAAI,pre_gpt,1980,HEARSAY-II: A Domain-Independent Framework for Expert Systems,,conf/aaai/BalzerELW80,DBLP
AAAI,pre_gpt,1980,Human Movement Understanding: A Variety of Perspectives,,conf/aaai/BadlerOPM80,DBLP
AAAI,pre_gpt,1980,"Incremental, Informal Program Acquisition",,conf/aaai/McCune80,DBLP
AAAI,pre_gpt,1980,Inference with Recursive Rules,,conf/aaai/ShapiroM80,DBLP
AAAI,pre_gpt,1980,Information Needed to Label a Scene,,conf/aaai/Freuder80,DBLP
AAAI,pre_gpt,1980,Intelligent Retrieval Planning,,conf/aaai/King80,DBLP
AAAI,pre_gpt,1980,Interactive Frame Instantiation,,conf/aaai/EngelmanSB80,DBLP
AAAI,pre_gpt,1980,Interference Detection and Collision Avoidance Among Three Dimensional Objects,,conf/aaai/AhujaCYB80,DBLP
AAAI,pre_gpt,1980,Interpreting Line Drawings as Three-Dimensional Surfaces,,conf/aaai/BarrowT80,DBLP
AAAI,pre_gpt,1980,Interpretive Vision and Restriction Graphs,,conf/aaai/BrooksB80,DBLP
