venue,era,year,title,doi,dblp_key,canonical_source
ICLR,pre_gpt,2013,"1st International Conference on Learning Representations, ICLR 2013, Scottsdale, Arizona, USA, May 2-4, 2013, Conference Track Proceedings",,conf/iclr/2013,DBLP
ICLR,pre_gpt,2013,"1st International Conference on Learning Representations, ICLR 2013, Scottsdale, Arizona, USA, May 2-4, 2013, Workshop Track Proceedings",,conf/iclr/2013w,DBLP
ICLR,pre_gpt,2013,A Nested HDP for Hierarchical Topic Models,,journals/corr/abs-1301-3570,DBLP
ICLR,pre_gpt,2013,A Semantic Matching Energy Function for Learning with Multi-relational Data,,journals/corr/abs-1301-3485,DBLP
ICLR,pre_gpt,2013,"Adaptive learning rates and parallelization for stochastic, sparse, non-smooth gradients",,journals/corr/abs-1301-3764,DBLP
ICLR,pre_gpt,2013,Affinity Weighted Embedding,,journals/corr/abs-1301-4171,DBLP
ICLR,pre_gpt,2013,Auto-pooling: Learning to Improve Invariance of Image Features from Image Sequences,,journals/corr/abs-1301-3323,DBLP
ICLR,pre_gpt,2013,Barnes-Hut-SNE,,journals/corr/abs-1301-3342,DBLP
ICLR,pre_gpt,2013,Big Neural Networks Waste Capacity,,journals/corr/abs-1301-3583,DBLP
ICLR,pre_gpt,2013,Block Coordinate Descent for Sparse NMF,,journals/corr/abs-1301-3527,DBLP
ICLR,pre_gpt,2013,Boltzmann Machines and Denoising Autoencoders for Image Denoising,,journals/corr/abs-1301-3468,DBLP
ICLR,pre_gpt,2013,Clustering Learning for Robotic Vision,,journals/corr/abs-1301-2820,DBLP
ICLR,pre_gpt,2013,Complexity of Representation and Inference in Compositional Models with Part Sharing,,journals/corr/abs-1301-3560,DBLP
ICLR,pre_gpt,2013,Cutting Recursive Autoencoder Trees,,journals/corr/abs-1301-2811,DBLP
ICLR,pre_gpt,2013,Deep Learning for Detecting Robotic Grasps,,journals/corr/abs-1301-3592,DBLP
ICLR,pre_gpt,2013,Deep Predictive Coding Networks,,journals/corr/abs-1301-3541,DBLP
ICLR,pre_gpt,2013,Discrete Restricted Boltzmann Machines,,journals/corr/abs-1301-3529,DBLP
ICLR,pre_gpt,2013,Discriminative Recurrent Sparse Auto-Encoders,,journals/corr/abs-1301-3775,DBLP
ICLR,pre_gpt,2013,Efficient Estimation of Word Representations in Vector Space,,journals/corr/abs-1301-3781,DBLP
ICLR,pre_gpt,2013,Efficient Learning of Domain-invariant Image Representations,,journals/corr/abs-1301-3224,DBLP
ICLR,pre_gpt,2013,Factorized Topic Models,,journals/corr/abs-1301-3461,DBLP
ICLR,pre_gpt,2013,Feature Learning in Deep Neural Networks - A Study on Speech Recognition Tasks,,journals/corr/abs-1301-3605,DBLP
ICLR,pre_gpt,2013,Feature grouping from spatially constrained multiplicative interaction,,journals/corr/abs-1301-3391,DBLP
