venue,era,year,title,doi,dblp_key,canonical_source,normalized_title,abstract,abstract_source,matched_title,match_score,openalex_id,semantic_scholar_id,retrieval_status,retrieval_error,token_count
NeurIPS,post_gpt,2023,3D-IntPhys: Towards More Generalized 3D-grounded Visual Intuitive Physics under Challenging Scenes,,conf/nips/Xue00YLT23,DBLP,3d intphys towards more generalized 3d grounded visual intuitive physics under challenging scenes,,,,,,,no_abstract_found,,0
NeurIPS,post_gpt,2023,A Comprehensive Study on Text-attributed Graphs: Benchmarking and Rethinking,,conf/nips/YanLLY0ZYZHSDZ023,DBLP,a comprehensive study on text attributed graphs benchmarking and rethinking,",",Semantic Scholar DBLP identifier,A Comprehensive Study on Text-attributed Graphs: Benchmarking and Rethinking,100.0,,b82662394b2b39836e64f07e1605559965643a9b,abstract_found,,1
NeurIPS,post_gpt,2023,A Computation and Communication Efficient Method for Distributed Nonconvex Problems in the Partial Participation Setting,,conf/nips/TyurinR23b,DBLP,a computation and communication efficient method for distributed nonconvex problems in the partial participation setting,,,,,,,no_abstract_found,,0
NeurIPS,post_gpt,2023,A Dynamical System View of Langevin-Based Non-Convex Sampling,,conf/nips/JagharghH023,DBLP,a dynamical system view of langevin based non convex sampling,,,,,,,no_abstract_found,,0
NeurIPS,post_gpt,2023,A Finite-Particle Convergence Rate for Stein Variational Gradient Descent,,conf/nips/ShiM23,DBLP,a finite particle convergence rate for stein variational gradient descent,,,,,,,no_abstract_found,,0
NeurIPS,post_gpt,2023,A High-Resolution Dataset for Instance Detection with Multi-View Object Capture,,conf/nips/ShenZKKLK23,DBLP,a high resolution dataset for instance detection with multi view object capture,,,,,,,no_abstract_found,,0
NeurIPS,post_gpt,2023,A Logic for Expressing Log-Precision Transformers,,conf/nips/MerrillS23,DBLP,a logic for expressing log precision transformers,,,,,,,no_abstract_found,,0
NeurIPS,post_gpt,2023,A Long N-step Surrogate Stage Reward for Deep Reinforcement Learning,,conf/nips/ZhongWS23,DBLP,a long n step surrogate stage reward for deep reinforcement learning,,,,,,,no_abstract_found,,0
NeurIPS,post_gpt,2023,A Privacy-Friendly Approach to Data Valuation,,conf/nips/Wang00JM23,DBLP,a privacy friendly approach to data valuation,,,,,,,no_abstract_found,,0
NeurIPS,post_gpt,2023,A Recurrent Neural Circuit Mechanism of Temporal-scaling Equivariant Representation,,conf/nips/ZuoLW0Z23,DBLP,a recurrent neural circuit mechanism of temporal scaling equivariant representation,,,,,,,no_abstract_found,,0
NeurIPS,post_gpt,2023,A Regularized Conditional GAN for Posterior Sampling in Image Recovery Problems,,conf/nips/BendelAS23,DBLP,a regularized conditional gan for posterior sampling in image recovery problems,,,,,,,no_abstract_found,,0
NeurIPS,post_gpt,2023,A Riemannian Exponential Augmented Lagrangian Method for Computing the Projection Robust Wasserstein Distance,,conf/nips/JiangL23,DBLP,a riemannian exponential augmented lagrangian method for computing the projection robust wasserstein distance,,,,,,,no_abstract_found,,0
NeurIPS,post_gpt,2023,A Theory of Link Prediction via Relational Weisfeiler-Leman on Knowledge Graphs,,conf/nips/Huang0CB23,DBLP,a theory of link prediction via relational weisfeiler leman on knowledge graphs,,,,,,,no_abstract_found,,0
NeurIPS,post_gpt,2023,A Theory of Unsupervised Translation Motivated by Understanding Animal Communication,,conf/nips/GoldwasserGKP23,DBLP,a theory of unsupervised translation motivated by understanding animal communication,,,,,,,no_abstract_found,,0
NeurIPS,post_gpt,2023,A Toolkit for Reliable Benchmarking and Research in Multi-Objective Reinforcement Learning,,conf/nips/FeltenANBTDS23,DBLP,a toolkit for reliable benchmarking and research in multi objective reinforcement learning,,,,,,,no_abstract_found,,0
NeurIPS,post_gpt,2023,A Unified Algorithm Framework for Unsupervised Discovery of Skills based on Determinantal Point Process,,conf/nips/ChenAL23,DBLP,a unified algorithm framework for unsupervised discovery of skills based on determinantal point process,,,,,,,no_abstract_found,,0
NeurIPS,post_gpt,2023,A Unified Fast Gradient Clipping Framework for DP-SGD,,conf/nips/KongM23,DBLP,a unified fast gradient clipping framework for dp sgd,,,,,,,no_abstract_found,,0
NeurIPS,post_gpt,2023,A generative model of the hippocampal formation trained with theta driven local learning rules,,conf/nips/GeorgeSBCF23,DBLP,a generative model of the hippocampal formation trained with theta driven local learning rules,,,,,,,no_abstract_found,,0
NeurIPS,post_gpt,2023,A*Net: A Scalable Path-based Reasoning Approach for Knowledge Graphs,,conf/nips/ZhuYGX0G023,DBLP,a net a scalable path based reasoning approach for knowledge graphs,,,,,,,no_abstract_found,,0
NeurIPS,post_gpt,2023,A-NeSI: A Scalable Approximate Method for Probabilistic Neurosymbolic Inference,,conf/nips/KriekenTTHT23,DBLP,a nesi a scalable approximate method for probabilistic neurosymbolic inference,,,,,,,no_abstract_found,,0
NeurIPS,post_gpt,2023,"AMAG: Additive, Multiplicative and Adaptive Graph Neural Network For Forecasting Neuron Activity",,conf/nips/LiSLROS23,DBLP,amag additive multiplicative and adaptive graph neural network for forecasting neuron activity,,,,,,,no_abstract_found,,0
NeurIPS,post_gpt,2023,ASIF: Coupled Data Turns Unimodal Models to Multimodal without Training,,conf/nips/NorelliFMMRL23,DBLP,asif coupled data turns unimodal models to multimodal without training,,,,,,,no_abstract_found,,0
NeurIPS,post_gpt,2023,ASPEN: Breaking Operator Barriers for Efficient Parallelization of Deep Neural Networks,,conf/nips/ParkBPHL23,DBLP,aspen breaking operator barriers for efficient parallelization of deep neural networks,,,,,,,no_abstract_found,,0
NeurIPS,post_gpt,2023,Achieving O(ε-1.5) Complexity in Hessian/Jacobian-free Stochastic Bilevel Optimization,,conf/nips/YangXJ23a,DBLP,achieving o 1 5 complexity in hessian jacobian free stochastic bilevel optimization,,,,,,,no_abstract_found,,0
NeurIPS,post_gpt,2023,"Advances in Neural Information Processing Systems 36: Annual Conference on Neural Information Processing Systems 2023, NeurIPS 2023, New Orleans, LA, USA, December 10 - 16, 2023",,conf/nips/2023,DBLP,advances in neural information processing systems 36 annual conference on neural information processing systems 2023 neurips 2023 new orleans la usa december 10 16 2023,,,,,,,no_abstract_found,,0
NeurIPS,post_gpt,2023,Adversarial Training from Mean Field Perspective,,conf/nips/KumanoKY23,DBLP,adversarial training from mean field perspective,,,,,,,no_abstract_found,,0
NeurIPS,post_gpt,2023,Affinity-Aware Graph Networks,,conf/nips/VelingkerSKVG23,DBLP,affinity aware graph networks,,,,,,,no_abstract_found,,0
NeurIPS,post_gpt,2023,Aging with GRACE: Lifelong Model Editing with Discrete Key-Value Adaptors,,conf/nips/HartvigsenSPKG23,DBLP,aging with grace lifelong model editing with discrete key value adaptors,,,,,,,no_abstract_found,,0
NeurIPS,post_gpt,2023,An Alternating Optimization Method for Bilevel Problems under the Polyak-Łojasiewicz Condition,,conf/nips/XiaoLC23,DBLP,an alternating optimization method for bilevel problems under the polyak ojasiewicz condition,,,,,,,no_abstract_found,,0
NeurIPS,post_gpt,2023,An Information Theory Perspective on Variance-Invariance-Covariance Regularization,,conf/nips/Shwartz-ZivBKRL23,DBLP,an information theory perspective on variance invariance covariance regularization,,,,,,,no_abstract_found,,0
