venue,era,year,title,doi,dblp_key,canonical_source,normalized_title,abstract,abstract_source,matched_title,match_score,openalex_id,semantic_scholar_id,retrieval_status,retrieval_error,token_count
AAAI,post_gpt,2023,3D-TOGO: Towards Text-Guided Cross-Category 3D Object Generation,10.1609/aaai.v37i1.25186,conf/aaai/JiangLLZZCX23,DBLP,3d togo towards text guided cross category 3d object generation,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,A Benchmark and Asymmetrical-Similarity Learning for Practical Image Copy Detection,10.1609/aaai.v37i3.25366,conf/aaai/WangS023,DBLP,a benchmark and asymmetrical similarity learning for practical image copy detection,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,A Dataset and Baseline Approach for Identifying Usage States from Non-intrusive Power Sensing with MiDAS IoT-Based Sensors,10.1609/aaai.v37i13.26843,conf/aaai/MuppasaniAASJ23,DBLP,a dataset and baseline approach for identifying usage states from non intrusive power sensing with midas iot based sensors,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,A Domain-Knowledge-Inspired Music Embedding Space and a Novel Attention Mechanism for Symbolic Music Modeling,10.1609/aaai.v37i4.25635,conf/aaai/GuoKH23,DBLP,a domain knowledge inspired music embedding space and a novel attention mechanism for symbolic music modeling,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,A Framework to Design Approximation Algorithms for Finding Diverse Solutions in Combinatorial Problems,10.1609/aaai.v37i4.25511,conf/aaai/HanakaK0KKO23,DBLP,a framework to design approximation algorithms for finding diverse solutions in combinatorial problems,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,A Generalized Scalarization Method for Evolutionary Multi-Objective Optimization,10.1609/aaai.v37i10.26474,conf/aaai/ZhengW23,DBLP,a generalized scalarization method for evolutionary multi objective optimization,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,A Generative Approach for Script Event Prediction via Contrastive Fine-Tuning,10.1609/aaai.v37i11.26645,conf/aaai/ZhuGY0XM0X23,DBLP,a generative approach for script event prediction via contrastive fine tuning,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,A Gift from Label Smoothing: Robust Training with Adaptive Label Smoothing via Auxiliary Classifier under Label Noise,10.1609/aaai.v37i7.26004,conf/aaai/KoYY23,DBLP,a gift from label smoothing robust training with adaptive label smoothing via auxiliary classifier under label noise,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,A Holistic Approach to Undesired Content Detection in the Real World,10.1609/aaai.v37i12.26752,conf/aaai/MarkovZANLAJW23,DBLP,a holistic approach to undesired content detection in the real world,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,A Latent-Variable Model for Intrinsic Probing,10.1609/aaai.v37i11.26593,conf/aaai/StanczakHWCA23,DBLP,a latent variable model for intrinsic probing,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,A Learnable Radial Basis Positional Embedding for Coordinate-MLPs,10.1609/aaai.v37i2.25307,conf/aaai/RamasingheL23,DBLP,a learnable radial basis positional embedding for coordinate mlps,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,"A Machine with Short-Term, Episodic, and Semantic Memory Systems",10.1609/aaai.v37i1.25075,conf/aaai/0002CFNV23,DBLP,a machine with short term episodic and semantic memory systems,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,A New Challenge in Policy Evaluation,10.1609/aaai.v37i13.26832,conf/aaai/Zhang23c,DBLP,a new challenge in policy evaluation,This paper proposes a new challenge in policy evaluation: to improve the online data efficiency of Monte Carlo methods via information extracted from offline data while maintaining the unbiasedness of Monte Carlo methods.,Semantic Scholar DOI,A New Challenge in Policy Evaluation,100.0,,70fc62f7592c689b5db2a91201f614c0bb82f3f7,abstract_found,,33
AAAI,post_gpt,2023,A Noise-Tolerant Differentiable Learning Approach for Single Occurrence Regular Expression with Interleaving,10.1609/aaai.v37i4.25606,conf/aaai/YeZWDLL23,DBLP,a noise tolerant differentiable learning approach for single occurrence regular expression with interleaving,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,A Proof That Using Crossover Can Guarantee Exponential Speed-Ups in Evolutionary Multi-Objective Optimisation,10.1609/aaai.v37i10.26460,conf/aaai/DangOSS23,DBLP,a proof that using crossover can guarantee exponential speed ups in evolutionary multi objective optimisation,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,A Reinforcement Learning Badminton Environment for Simulating Player Tactics (Student Abstract),10.1609/aaai.v37i13.26976,conf/aaai/HuangHCWWP23,DBLP,a reinforcement learning badminton environment for simulating player tactics student abstract,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,A Risk-Sensitive Approach to Policy Optimization,10.1609/aaai.v37i12.26753,conf/aaai/MarkowitzGLAW23,DBLP,a risk sensitive approach to policy optimization,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,A Scope Sensitive and Result Attentive Model for Multi-Intent Spoken Language Understanding,10.1609/aaai.v37i11.26493,conf/aaai/ChengY023,DBLP,a scope sensitive and result attentive model for multi intent spoken language understanding,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,A Simple Baseline for Multi-Camera 3D Object Detection,10.1609/aaai.v37i3.25460,conf/aaai/ZhangZZHL023,DBLP,a simple baseline for multi camera 3d object detection,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,A Simple Unified Approach to Testing High-Dimensional Conditional Independences for Categorical and Ordinal Data,10.1609/aaai.v37i10.26436,conf/aaai/AnkanT23,DBLP,a simple unified approach to testing high dimensional conditional independences for categorical and ordinal data,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,A Survey on Model Compression and Acceleration for Pretrained Language Models,10.1609/aaai.v37i9.26255,conf/aaai/XuM23,DBLP,a survey on model compression and acceleration for pretrained language models,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,"AAAI Bridge Program on Continual Causality, 7-8 February 2023, Washington, DC, USA",,conf/aaai/2023bridge,DBLP,aaai bridge program on continual causality 7 8 february 2023 washington dc usa,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,AC-Band: A Combinatorial Bandit-Based Approach to Algorithm Configuration,10.1609/aaai.v37i10.26456,conf/aaai/BrandtSHBHT23,DBLP,ac band a combinatorial bandit based approach to algorithm configuration,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,ACE: Cooperative Multi-Agent Q-learning with Bidirectional Action-Dependency,10.1609/aaai.v37i7.26028,conf/aaai/LiLZWN0LO23,DBLP,ace cooperative multi agent q learning with bidirectional action dependency,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,ADEPT: A DEbiasing PrompT Framework,10.1609/aaai.v37i9.26279,conf/aaai/YangY0LJ23,DBLP,adept a debiasing prompt framework,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,ADMoE: Anomaly Detection with Mixture-of-Experts from Noisy Labels,10.1609/aaai.v37i4.25620,conf/aaai/0016ZMMA23,DBLP,admoe anomaly detection with mixture of experts from noisy labels,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,AIO-P: Expanding Neural Performance Predictors beyond Image Classification,10.1609/aaai.v37i8.26101,conf/aaai/MillsNSQHLZ0J23,DBLP,aio p expanding neural performance predictors beyond image classification,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,AUC Maximization for Low-Resource Named Entity Recognition,10.1609/aaai.v37i11.26571,conf/aaai/NguyenT0BBC23,DBLP,auc maximization for low resource named entity recognition,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,AVCAffe: A Large Scale Audio-Visual Dataset of Cognitive Load and Affect for Remote Work,10.1609/aaai.v37i1.25078,conf/aaai/SarkarPE23,DBLP,avcaffe a large scale audio visual dataset of cognitive load and affect for remote work,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,Accelerating Inverse Learning via Intelligent Localization with Exploratory Sampling,10.1609/aaai.v37i12.26719,conf/aaai/BiF023,DBLP,accelerating inverse learning via intelligent localization with exploratory sampling,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,Accelerating the Training of Video Super-resolution Models,10.1609/aaai.v37i2.25246,conf/aaai/LinWQS23,DBLP,accelerating the training of video super resolution models,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,Accurate Fairness: Improving Individual Fairness without Trading Accuracy,10.1609/aaai.v37i12.26674,conf/aaai/LiWS23,DBLP,accurate fairness improving individual fairness without trading accuracy,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,Achieving Zero Constraint Violation for Constrained Reinforcement Learning via Conservative Natural Policy Gradient Primal-Dual Algorithm,10.1609/aaai.v37i6.25826,conf/aaai/BaiBA23,DBLP,achieving zero constraint violation for constrained reinforcement learning via conservative natural policy gradient primal dual algorithm,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,Active Token Mixer,10.1609/aaai.v37i3.25376,conf/aaai/Wei0LL023,DBLP,active token mixer,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,AdaCM: Adaptive ColorMLP for Real-Time Universal Photo-Realistic Style Transfer,10.1609/aaai.v37i2.25248,conf/aaai/LinLLHWWLL23,DBLP,adacm adaptive colormlp for real time universal photo realistic style transfer,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,AdaTask: A Task-Aware Adaptive Learning Rate Approach to Multi-Task Learning,10.1609/aaai.v37i9.26275,conf/aaai/YangPWYSCXJG23,DBLP,adatask a task aware adaptive learning rate approach to multi task learning,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,Adaptive Constraint Partition Based Optimization Framework for Large-Scale Integer Linear Programming (Student Abstract),10.1609/aaai.v37i13.27048,conf/aaai/YeWXWJ23,DBLP,adaptive constraint partition based optimization framework for large scale integer linear programming student abstract,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,Adaptive Discrete Communication Bottlenecks with Dynamic Vector Quantization for Heterogeneous Representational Coarseness,10.1609/aaai.v37i7.26061,conf/aaai/LiuLJNMBK23,DBLP,adaptive discrete communication bottlenecks with dynamic vector quantization for heterogeneous representational coarseness,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,Adaptive Dynamic Filtering Network for Image Denoising,10.1609/aaai.v37i2.25317,conf/aaai/ShenZZ23,DBLP,adaptive dynamic filtering network for image denoising,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,Adaptive Low-Precision Training for Embeddings in Click-Through Rate Prediction,10.1609/aaai.v37i4.25564,conf/aaai/LiGHZ0T0023,DBLP,adaptive low precision training for embeddings in click through rate prediction,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,Adaptive Mixing of Auxiliary Losses in Supervised Learning,10.1609/aaai.v37i8.26176,conf/aaai/Sivasubramanian23,DBLP,adaptive mixing of auxiliary losses in supervised learning,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,Adaptive Perturbation-Based Gradient Estimation for Discrete Latent Variable Models,10.1609/aaai.v37i8.26103,conf/aaai/Minervini0N23,DBLP,adaptive perturbation based gradient estimation for discrete latent variable models,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,Adversarial Self-Attention for Language Understanding,10.1609/aaai.v37i11.26608,conf/aaai/WuDZXHZ23,DBLP,adversarial self attention for language understanding,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,Adversarial Weight Perturbation Improves Generalization in Graph Neural Networks,10.1609/aaai.v37i9.26239,conf/aaai/WuBH23,DBLP,adversarial weight perturbation improves generalization in graph neural networks,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,Aesthetically Relevant Image Captioning,10.1609/aaai.v37i3.25485,conf/aaai/Zhong0Q23,DBLP,aesthetically relevant image captioning,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,AirFormer: Predicting Nationwide Air Quality in China with Transformers,10.1609/aaai.v37i12.26676,conf/aaai/LiangXKWWZZZ23,DBLP,airformer predicting nationwide air quality in china with transformers,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,Alignment-Enriched Tuning for Patch-Level Pre-trained Document Image Models,10.1609/aaai.v37i2.25357,conf/aaai/WangH0LL23,DBLP,alignment enriched tuning for patch level pre trained document image models,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,Almost Cost-Free Communication in Federated Best Arm Identification,10.1609/aaai.v37i7.26010,conf/aaai/KotaKT23,DBLP,almost cost free communication in federated best arm identification,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,AlphaSnake: Policy Iteration on a Nondeterministic NP-Hard Markov Decision Process (Student Abstract),10.1609/aaai.v37i13.26962,conf/aaai/DuGWW23,DBLP,alphasnake policy iteration on a nondeterministic np hard markov decision process student abstract,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,Alternating Layered Variational Quantum Circuits Can Be Classically Optimized Efficiently Using Classical Shadows,10.1609/aaai.v37i6.25830,conf/aaai/Basheer0FL23,DBLP,alternating layered variational quantum circuits can be classically optimized efficiently using classical shadows,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,An Efficient Algorithm for Fair Multi-Agent Multi-Armed Bandit with Low Regret,10.1609/aaai.v37i7.25985,conf/aaai/JonesNN23,DBLP,an efficient algorithm for fair multi agent multi armed bandit with low regret,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,An Emotion-Guided Approach to Domain Adaptive Fake News Detection Using Adversarial Learning (Student Abstract),10.1609/aaai.v37i13.26949,conf/aaai/ChakrabortyKC0V23,DBLP,an emotion guided approach to domain adaptive fake news detection using adversarial learning student abstract,,,,,,,no_abstract_found,,0
AAAI,post_gpt,2023,An Extreme-Adaptive Time Series Prediction Model Based on Probability-Enhanced LSTM Neural Networks,10.1609/aaai.v37i7.26045,conf/aaai/LiXA23,DBLP,an extreme adaptive time series prediction model based on probability enhanced lstm neural networks,,,,,,,no_abstract_found,,0
